Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citation Text Clean,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text
1.0,"Collins and Singer, 1999",0,0,"Co-Training has been used before in applications like word-sense disambiguation (Yarowsky, 1995), web-page classification (Blum and Mitchell, 1998) and named entity identification (Collins and Singer, 1999)","Co-Training has been used before in applications like word-sense disambiguation (Yarowsky, 1995), web-page classification (Blum and Mitchell, 1998) and named entity identification (Collins and Singer, 1999)",N01-1023,"Method_Citation,Hypothesis_Citation,Implication_Citation",W99-0613,"'0','137','1'","<S sid=""0"" ssid=""0"">Unsupervised Models for Named Entity Classification Collins</S><S sid=""137"" ssid=""4"">The new algorithm, which we call CoBoost, uses labeled and unlabeled data and builds two classifiers in parallel.</S><S sid=""1"" ssid=""1"">This paper discusses the use of unlabeled examples for the problem of named entity classification.</S>"
2.0,"Collins and Singer, 1999",0,0,"They also discuss an application of classifying web pages by using their method of mutually constrained models. (Collins and Singer, 1999) further extend the use of classifiers that have mutual constraints by adding terms toAdaBoost which force the classifiers to agree (called Co Boosting)","(Collins and Singer, 1999) further extend the use of classifiers that have mutual constraints by adding terms to AdaBoost which force the classifiers to agree (called Co Boosting)",N01-1023,"Method_Citation,Hypothesis_Citation,Results_Citation,Implication_Citation",W99-0613,"'137','174','33'","<S sid=""137"" ssid=""4"">The new algorithm, which we call CoBoost, uses labeled and unlabeled data and builds two classifiers in parallel.</S><S sid=""174"" ssid=""41"">The two new terms force the two classifiers to agree, as much as possible, on the unlabeled examples.</S><S sid=""33"" ssid=""27"">The second algorithm builds on a boosting algorithm called AdaBoost (Freund and Schapire 97; Schapire and Singer 98).</S>"
3.0,Collins and Singer 1999,0,0,"Recent methods for English NER focus on machine-learning algorithms such as DL-CoTrain, CoBoost [Collins and Singer 1999], HMM [Daniel M. Bikel 1997], maximum entropy model [Borthwick, et al 1999] and so on","Recent methods for English NER focus on machine-learning algorithms such as DL-CoTrain, CoBoost [Collins and Singer 1999], HMM [Daniel M. Bikel 1997], maximum entropy model [Borthwick, et al 1999] and so on",W03-1509,"Method_Citation,Implication_Citation",W99-0613,"'79','137','132'","<S sid=""79"" ssid=""12"">2 We now introduce a new algorithm for learning from unlabeled examples, which we will call DLCoTrain (DL stands for decision list, the term Cotrain is taken from (Blum and Mitchell 98)).</S><S sid=""137"" ssid=""4"">The new algorithm, which we call CoBoost, uses labeled and unlabeled data and builds two classifiers in parallel.</S><S sid=""132"" ssid=""65"">The algorithm, called CoBoost, has the advantage of being more general than the decision-list learning alInput: (xi , yi), , (xim, ) ; x, E 2x, yi = +1 Initialize Di (i) = 1/m.</S>"
4.0,"Collins and Singer, 1999",0,0,"DL-CoTrain, (Collins and Singer, 1999), learns capitalized proper name NEs from a syn tactically analyzed corpus","DL-CoTrain, (Collins and Singer, 1999), learns capitalized proper name NEs from a syntactically analyzed corpus",C02-1154,"Method_Citation,Implication_Citation",W99-0613,"'79','10','254'","<S sid=""79"" ssid=""12"">2 We now introduce a new algorithm for learning from unlabeled examples, which we will call DLCoTrain (DL stands for decision list, the term Cotrain is taken from (Blum and Mitchell 98)).</S><S sid=""10"" ssid=""4"">The task is to learn a function from an input string (proper name) to its type, which we will assume to be one of the categories Person, Organization, or Location.</S><S sid=""254"" ssid=""5"">Future work should also extend the approach to build a complete named entity extractor - a method that pulls proper names from text and then classifies them.</S>"
5.0,"Collins and Singer, 1999",0,0,"(Collins and Singer, 1999) also makes use of competing categories (person, organization, and location), which cover 96% of all the instances itset out to classify","(Collins and Singer, 1999) also makes use of competing categories (person, organization, and location), which cover 96% of all the instances it set out to classify",C02-1154,"Method_Citation,Hypothesis_Citation,Results_Citation,Implication_Citation",W99-0613,"'19','236','10'","<S sid=""19"" ssid=""13"">Given around 90,000 unlabeled examples, the methods described in this paper classify names with over 91% accuracy.</S><S sid=""236"" ssid=""3"">We chose one of four labels for each example: location, person, organization, or noise where the noise category was used for items that were outside the three categories.</S><S sid=""10"" ssid=""4"">The task is to learn a function from an input string (proper name) to its type, which we will assume to be one of the categories Person, Organization, or Location.</S>"
6.0,"Collins and Singer, 1999",0,0,"In (Collins and Singer, 1999) Collins and Singer show that unlabeled data can be used to reduce the level of supervision required for named entity classification","In (Collins and Singer, 1999) Collins and Singer show that unlabeled data can be used to reduce the level of supervision required for named entity classification",W06-2204,"Method_Citation,Hypothesis_Citation,Implication_Citation",W99-0613,"'18','250','2'","<S sid=""18"" ssid=""12"">But we will show that the use of unlabeled data can drastically reduce the need for supervision.</S><S sid=""250"" ssid=""1"">Unlabeled examples in the named-entity classification problem can reduce the need for supervision to a handful of seed rules.</S><S sid=""2"" ssid=""2"">A large number of rules is needed for coverage of the domain, suggesting that a fairly large number of labeled examples should be required to train a classi- However, we show that the use of data can reduce the requirements for supervision to just 7 simple &quot;seed&quot; rules.</S>"
8.0,"Collins and Singer, 1999",0,0,"Collins and Singer (1999) for example report that 88% of the named entities occurring in their data set belong to these three categories (Collins and Singer, 1999)","Collins and Singer (1999) for example report that 88% of the named entities occurring in their data set belong to these three categories (Collins and Singer, 1999)",W03-1022,"Method_Citation,Hypothesis_Citation,Implication_Citation",W99-0613,"'0','236','19'","<S sid=""0"" ssid=""0"">Unsupervised Models for Named Entity Classification Collins</S><S sid=""236"" ssid=""3"">We chose one of four labels for each example: location, person, organization, or noise where the noise category was used for items that were outside the three categories.</S><S sid=""19"" ssid=""13"">Given around 90,000 unlabeled examples, the methods described in this paper classify names with over 91% accuracy.</S>"
9.0,"Collinsand Singer, 1999",0,0,"While EM has worked quite well for a few tasks, notably ma chine translations (starting with the IBM models 1-5 (Brown et al, 1993), it has not had success inmost others, such as part-of-speech tagging (Merialdo, 1991), named-entity recognition (Collinsand Singer, 1999) and context-free-grammar induction (numerous attempts, too many to mention)","While EM has worked quite well for a few tasks, notably machine translations (starting with the IBM models 1-5 (Brown et al, 1993), it has not had success in most others, such as part-of-speech tagging (Merialdo, 1991), named-entity recognition (Collinsand Singer, 1999) and context-free-grammar induction (numerous attempts, too many to mention)",E09-1018,"Method_Citation,Aim_Citation,Results_Citation,Implication_Citation",W99-0613,"'16','0','222'","<S sid=""16"" ssid=""10"">Supervised methods have been applied quite successfully to the full MUC named-entity task (Bikel et al. 97).</S><S sid=""0"" ssid=""0"">Unsupervised Models for Named Entity Classification Collins</S><S sid=""222"" ssid=""1"">The Expectation Maximization (EM) algorithm (Dempster, Laird and Rubin 77) is a common approach for unsupervised training; in this section we describe its application to the named entity problem.</S>"
11.0,"Collins and Singer, 1999",0,0,"In addition, we would also like to explore the semi-supervised techniques such as co-training and self-training (Collins and Singer, 1999)","In addition, we would also like to explore the semi-supervised techniques such as co-training and self-training (Collins and Singer, 1999)",W07-1712,"Method_Citation,Hypothesis_Citation,Implication_Citation",W99-0613,"'0','68','16'","<S sid=""0"" ssid=""0"">Unsupervised Models for Named Entity Classification Collins</S><S sid=""68"" ssid=""1"">The first unsupervised algorithm we describe is based on the decision list method from (Yarowsky 95).</S><S sid=""16"" ssid=""10"">Supervised methods have been applied quite successfully to the full MUC named-entity task (Bikel et al. 97).</S>"
12.0,"Collins and Singer, 1999",0,0,"Collins et al (Collins and Singer, 1999) proposed two algorithms for NER by modifying Yarowsky ?smethod (Yarowsky, 1995) and the framework suggested by (Blum and Mitchell, 1998)","Collins et al (Collins and Singer, 1999) proposed two algorithms for NER by modifying Yarowsky's method (Yarowsky, 1995) and the framework suggested by (Blum and Mitchell, 1998)",W09-2208,"Method_Citation,Hypothesis_Citation,Implication_Citation",W99-0613,"'68','6','26'","<S sid=""68"" ssid=""1"">The first unsupervised algorithm we describe is based on the decision list method from (Yarowsky 95).</S><S sid=""6"" ssid=""6"">The second algorithm extends ideas from boosting algorithms, designed for supervised learning tasks, to the framework suggested by (Blum and Mitchell 98).</S><S sid=""26"" ssid=""20"">We present two algorithms.</S>"
13.0,"Collins and Singer, 1999",0,0,"This approach was shown to perform well on real-world natural language problems (Collins and Singer, 1999)","This approach was shown to perform well on real-world natural language problems (Collins and Singer, 1999)",W06-2207,"Method_Citation,Hypothesis_Citation,Results_Citation,Implication_Citation",W99-0613,"'28','0','34'","<S sid=""28"" ssid=""22"">(Yarowsky 95) describes an algorithm for word-sense disambiguation that exploits redundancy in contextual features, and gives impressive performance.</S><S sid=""0"" ssid=""0"">Unsupervised Models for Named Entity Classification Collins</S><S sid=""34"" ssid=""28"">The AdaBoost algorithm was developed for supervised learning.</S>"
15.0,"Collins and Singer, 1999",0,0,"(6) Similarly to (Collins and Singer, 1999) we used T= 0.95 for all experiments reported here","(6) Similarly to (Collins and Singer, 1999) we used T= 0.95 for all experiments reported here",W06-2207,"Method_Citation,Hypothesis_Citation",W99-0613,"'85','77','0'","<S sid=""85"" ssid=""18"">(If fewer than n rules have Precision greater than pin, we 3Note that taking tlie top n most frequent rules already makes the method robut to low count events, hence we do not use smoothing, allowing low-count high-precision features to be chosen on later iterations. keep only those rules which exceed the precision threshold.) pm,n was fixed at 0.95 in all experiments in this paper.</S><S sid=""77"" ssid=""10"">In this paper k = 3 (the three labels are person, organization, location), and we set a = 0.1.</S><S sid=""0"" ssid=""0"">Unsupervised Models for Named Entity Classification Collins</S>"
16.0,1999,0,0,We use Collins and Singer (1999) for our exact specification of Yarowsky.2 It uses DL rule scores ?fj?| ?fj |+ |? f |+ L (1) where  is a smoothing constant,We use Collins and Singer (1999) for our exact specification of Yarowsky,P12-1065,"Method_Citation,Hypothesis_Citation,Implication_Citation",W99-0613,"'68','28','43'","<S sid=""68"" ssid=""1"">The first unsupervised algorithm we describe is based on the decision list method from (Yarowsky 95).</S><S sid=""28"" ssid=""22"">(Yarowsky 95) describes an algorithm for word-sense disambiguation that exploits redundancy in contextual features, and gives impressive performance.</S><S sid=""43"" ssid=""37"">The approach builds from an initial seed set for a category, and is quite similar to the decision list approach described in (Yarowsky 95).</S>"
