run  name,task1 method,task2 method
run1,Jaccard-Cascade_CON-CT-FastText,Jaccard-Cascade_GCN
run2,Jaccard-Cascade_CON-CT-FastText,Jaccard-Cascade_QD-DPPs
run3,Jaccard-Cascade_CON-CT-FastText,Jaccard-Cascade_SV-DPPs
run4,Jaccard-Cascade_CON-POS-Vote,Jaccard-Cascade_GCN
run5,Jaccard-Cascade_CON-POS-Vote,Jaccard-Cascade_QD-DPPs
run6,Jaccard-Cascade_CON-POS-Vote,Jaccard-Cascade_SV-DPPs
run7,Jaccard-Cascade_CON-RT-FastText,Jaccard-Cascade_GCN
run8,Jaccard-Cascade_CON-RT-FastText,Jaccard-Cascade_QD-DPPs
run9,Jaccard-Cascade_CON-RT-FastText,Jaccard-Cascade_SV-DPPs
run10,Jaccard-Cascade_POS-ADB,Jaccard-Cascade_GCN
run11,Jaccard-Cascade_POS-ADB,Jaccard-Cascade_QD-DPPs
run12,Jaccard-Cascade_POS-ADB,Jaccard-Cascade_SV-DPPs
run13,Jaccard-Cascade_POS-LR,Jaccard-Cascade_GCN
run14,Jaccard-Cascade_POS-LR,Jaccard-Cascade_QD-DPPs
run15,Jaccard-Cascade_POS-LR,Jaccard-Cascade_SV-DPPs
run16,Jaccard-Cascade_POS-Vote,Jaccard-Cascade_GCN
run17,Jaccard-Cascade_POS-Vote,Jaccard-Cascade_QD-DPPs
run18,Jaccard-Cascade_POS-Vote,Jaccard-Cascade_SV-DPPs
run19,Jaccard-Cascade_POS-XGB,Jaccard-Cascade_GCN
run20,Jaccard-Cascade_POS-XGB,Jaccard-Cascade_QD-DPPs
run21,Jaccard-Cascade_POS-XGB,Jaccard-Cascade_SV-DPPs
run22,Jaccard-Focused_CON-CT-FastText,Jaccard-Focused_GCN
run23,Jaccard-Focused_CON-CT-FastText,Jaccard-Focused_QD-DPPs
run24,Jaccard-Focused_CON-CT-FastText,Jaccard-Focused_SV-DPPs
run25,Jaccard-Focused_CON-POS-Vote,Jaccard-Focused_GCN
run26,Jaccard-Focused_CON-POS-Vote,Jaccard-Focused_QD-DPPs
run27,Jaccard-Focused_CON-POS-Vote,Jaccard-Focused_SV-DPPs
run28,Jaccard-Focused_CON-RT-FastText,Jaccard-Focused_GCN
run29,Jaccard-Focused_CON-RT-FastText,Jaccard-Focused_QD-DPPs
run30,Jaccard-Focused_CON-RT-FastText,Jaccard-Focused_SV-DPPs
run31,Jaccard-Focused_POS-ADB,Jaccard-Focused_GCN
run32,Jaccard-Focused_POS-ADB,Jaccard-Focused_QD-DPPs
run33,Jaccard-Focused_POS-ADB,Jaccard-Focused_SV-DPPs
run34,Jaccard-Focused_POS-LR,Jaccard-Focused_GCN
run35,Jaccard-Focused_POS-LR,Jaccard-Focused_QD-DPPs
run36,Jaccard-Focused_POS-LR,Jaccard-Focused_SV-DPPs
run37,Jaccard-Focused_POS-Vote,Jaccard-Focused_GCN
run38,Jaccard-Focused_POS-Vote,Jaccard-Focused_QD-DPPs
run39,Jaccard-Focused_POS-Vote,Jaccard-Focused_SV-DPPs
run40,Jaccard-Focused_POS-XGB,Jaccard-Focused_GCN
