Citance Number: 1 | Reference Article: P98-1046.xml | Citing Article: A00-2034.xml | Citation Marker Offset: ['36','37'] | Citation Marker: Dang et al, 1998 | Citation Offset: ['36','37'] | Citation Text: <S sid ="36" ssid = "22">Levin&apos;s classification has been extended by other NLP researchers (Dorr and Jones, 1996; Dang et al., </S><S sid ="37" ssid = "23">1998).</S> | Reference Offset: ['3','67','91'] | Reference Text: <S sid="3" ssid="3">Current approaches to English classificaÃÂ­ tion, Levin classes and WordNet, have limitaÃÂ­ tions in their applicability that impede their utility as general classification schemes.</S> <S sid="67" ssid="21">Instead, in their use as split verbs, each verb manifests an extended sense that can be paraphrased as &quot;separate by V-ing,&quot; where &quot;V&quot; is the basic meaning of that verb (Levin, 1993).</S> <S sid="91" ssid="5">The critical point is that, while the verb&apos;s meaning can be extended to either &quot;attempted&quot; action or directed motion, these two extensions cannot co-occur - they are mutually exclusive.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 2 | Reference Article: P98-1046.xml | Citing Article: A00-2034.xml | Citation Marker Offset: ['39'] | Citation Marker: 1998 | Citation Offset: ['38','39'] | Citation Text: <S sid ="38" ssid = "24">Dang et al.</S><S sid ="39" ssid = "25">(1998) modify it by adding new classes which remove the overlap between classes from the original scheme.</S> | Reference Offset: ['63','62','110'] | Reference Text: <S sid="62" ssid="16">A verb was assigned membership in an intersective class if it was listed in each of the existing classes that were combined to form the new intersective class.</S> <S sid="63" ssid="17">Simultaneously, the verb was removed from the membership lists of those existing classes.</S> <S sid="110" ssid="24">However, other intersective classes, such as the split/push/carry class, are no more conÃÂ­ sistent with WordNet than the original Levin classes.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 3 | Reference Article: P98-1046.xml | Citing Article: C00-2118.xml | Citation Marker Offset: ['211'] | Citation Marker: Dang ct a!., 1998 | Citation Offset: ['211'] | Citation Text: <S sid ="211" ssid = "162">\tVe think that many cases of amÃÂÃÂ­ biguous classification of verb types can be adÃÂÃÂ­ dressed with the notion of intersedive sets inÃÂÃÂ­ troduced by (Dang ct a!., 1998).</S> | Reference Offset: ['101','114','146'] | Reference Text: <S sid="101" ssid="15">WordNet distinguishes two subclasses of cut, differentiated by the type of result: 1.</S> <S sid="114" ssid="28">However, apart can also be used with other classes of verbs, including many verbs of motion.</S> <S sid="146" ssid="60">Most verbs have more than one translation into Portuguese, so we chose the translation that best described the meaning or that had the same type of arguments as described in Levin&apos;s verb classes.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 4 | Reference Article: P98-1046.xml | Citing Article: C00-2148.xml | Citation Marker Offset: ['18'] | Citation Marker: 1998 | Citation Offset: ['18'] | Citation Text: <S sid ="18" ssid = "4">Many verbs are listed in multiple classes, some of which have conflicting sets of syntactic frames.</S><S sid ="19" ssid = "5">Dang ct al.</S><S sid ="20" ssid = "6">(1998) showed that multiple listings could in some cases be interpreted as regular sense extensions, and defined intcrsectivc Levin classes, which are a more fine-grained, syntactically and semantically coherÃÂÃÂ­ ent refinement of basic Levin classes.</S> | Reference Offset: ['15','44','4'] | Reference Text: <S sid="4" ssid="4">We present a refinement of Levin classes, intersecÃÂ­ tive sets, which are a more fine-grained clasÃÂ­ sification and have more coherent sets of synÃÂ­ tactic frames and associated semantic compoÃÂ­ nents.</S> <S sid="15" ssid="15">We base these regular extensions on a fine-grained variation on Levin classes, interÃÂ­ sective Levin classes, as a source of semantic components associated with specific adjuncts.</S> <S sid="44" ssid="25">This listing of a verb in more than one class (many verbs are in three or even four classes) is left open to interpretation in Levin.</S> | Discourse Facet: ['Results_Citation','Method_Citation'] | Annotator: Ankita Patel

