Citance Number: 1 | Reference Article: J96-3004.xml | Citing Article: A00-2032.xml | Citation Marker Offset: ['142'] | Citation Marker: 1996 | Citation Offset: ['141','142'] | Citation Text: <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃÂÃÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃÂÃÂ­ proach.</S> | Reference Offset: ['91','89','76'] | Reference Text: <S sid="76" ssid="14">The most accurate characterization of Chinese writing is that it is morphosyllabic (DeFrancis 1984): each hanzi represents one morpheme lexically and semantically, and one syllable phonologiÃÂ­ cally.</S> <S sid="89" ssid="27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÃÂ­ cal rule-based approaches, and approaches that combine lexical information with staÃÂ­ tistical information.</S> <S sid="91" ssid="29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 2 | Reference Article: J96-3004.xml | Citing Article: A00-2032.xml | Citation Marker Offset: ['5'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['5'] | Citation Text: <S sid ="5" ssid = "5">Proposed applications of segmentation technology include extracting new technical terms, indexing documents for information retrieval, and correcting optical character recognition (OCR) erÃÂÃÂ­ rors (Wu and Tseng, 1993; Nagao and Mori, 1994; Nagata, 1996a; Nagata, 1996b; Sproat et al., 1996; Fung, 1998).</S> | Reference Offset: ['52','1','36'] | Reference Text: <S sid="1" ssid="1">Any NLP application that presumes as input unrestricted text requires an initial phase of text analysis; such applications involve problems as diverse as machine translation, information retrieval, and text-to-speech synthesis (TIS).</S> <S sid="36" ssid="36">Now, for this application one might be tempted to simply bypass the segmentation problem and pronounce the text character-by-character.</S> <S sid="52" ssid="13">The points enumerated above are particularly related to ITS, but analogous arguments can easily be given for other applications; see for example Wu and Tseng&apos;s (1993) discussion of the role of segmentation in information retrieval.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 3 | Reference Article: J96-3004.xml | Citing Article: C00-2095.xml | Citation Marker Offset: ['80'] | Citation Marker: Sproat ct a.l., 1996 | Citation Offset: ['80'] | Citation Text: <S sid ="80" ssid = "25">As (Sproat ct a.l., 1996) testify, several native Chinese speakers do not always agree on one unique tokeniza.tion for a. given sentence.</S> | Reference Offset: ['228','33','221'] | Reference Text: <S sid="33" ssid="33">Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.</S> <S sid="221" ssid="85">10 Chinese speakers may object to this form, since the suffix f, menD (PL) is usually restricted to.</S> <S sid="228" ssid="92">Full Chinese personal names are in one respect simple: they are always of the form family+given.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 4 | Reference Article: J96-3004.xml | Citing Article: C02-1049.xml | Citation Marker Offset: ['58'] | Citation Marker: Sproat et al, 1996 | Citation Offset: ['58'] | Citation Text: <S sid ="58" ssid = "39">Conventionally a word segmentation process identifies the words in input text by matching lexical entries and resolving the ambiguous matching (Chen &amp; Liu, 1992, Sproat et al, 1996).</S> | Reference Offset: ['108','112','305'] | Reference Text: <S sid="108" ssid="46">The most popular approach to dealing with segÃÂ­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S> <S sid="112" ssid="50">The simplest version of the maximum matching algorithm effectively deals with ambiguity by ignoring it, since the method is guaranteed to produce only one segmentation.</S> <S sid="305" ssid="14">A greedy algorithm (or maximum-matching algorithm), GR: proceed through the sentence, taking the longest match with a dictionary entry at each point.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel

