Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citation Text Clean,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text
1.0,2011,0,0,Subramanya et al? s model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers,Subramanya et al's model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers,P11-1144,"Method_Citation,Hypothesis_Citation,Results_Citation,Implication_Citation",P11-1061,"'0','6','18'","<S sid=""0"" ssid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid=""6"" ssid=""2"">Supervised part-of-speech (POS) taggers, for example, approach the level of inter-annotator agreement (Shen et al., 2007, 97.3% accuracy for English).</S><S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S>"
3.0,2011,0,0,"Fortunately, some recently proposed POS taggers, such as the POStagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach","Fortunately, some recently proposed POS taggers, such as the POS tagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach",P14-1126,"Method_Citation,Hypothesis_Citation,Results_Citation,Implication_Citation",P11-1061,"'7','27','115'","<S sid=""7"" ssid=""3"">However, supervised methods rely on labeled training data, which is time-consuming and expensive to generate.</S><S sid=""27"" ssid=""4"">Graph construction does not require any labeled data, but makes use of two similarity functions.</S><S sid=""115"" ssid=""15"">The taggers were trained on datasets labeled with the universal tags.</S>"
4.0,"Das and Petrov, 2011",0,0,"Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning ofPOS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)","Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning of POS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)",N12-1086,"Method_Citation,Hypothesis_Citation,Implication_Citation",P11-1061,"'35','0','3'","<S sid=""35"" ssid=""1"">In graph-based learning approaches one constructs a graph whose vertices are labeled and unlabeled examples, and whose weighted edges encode the degree to which the examples they link have the same label (Zhu et al., 2003).</S><S sid=""0"" ssid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid=""3"" ssid=""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al., 2010).</S>"
5.0,2011,0,0,"Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics","Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics",N12-1086,"Method_Citation,Hypothesis_Citation,Implication_Citation",P11-1061,"'52','51','28'","<S sid=""52"" ssid=""18"">This is similar to stacking the different feature instantiations into long (sparse) vectors and computing the cosine similarity between them.</S><S sid=""51"" ssid=""17"">For each trigram type x2 x3 x4 in a sequence x1 x2 x3 x4 x5, we count how many times that trigram type co-occurs with the different instantiations of each concept, and compute the point-wise mutual information (PMI) between the two.5 The similarity between two trigram types is given by summing over the PMI values over feature instantiations that they have in common.</S><S sid=""28"" ssid=""5"">The edge weights between the foreign language trigrams are computed using a co-occurence based similarity function, designed to indicate how syntactically similar the middle words of the connected trigrams are (§3.2).</S>"
6.0,"Das and Petrov, 2011",0,0,"Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)","Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)",N12-1086,"Method_Citation,Hypothesis_Citation,Implication_Citation",P11-1061,"'27','31','7'","<S sid=""27"" ssid=""4"">Graph construction does not require any labeled data, but makes use of two similarity functions.</S><S sid=""31"" ssid=""8"">By aggregating the POS labels of the English tokens to types, we can generate label distributions for the English vertices.</S><S sid=""7"" ssid=""3"">However, supervised methods rely on labeled training data, which is time-consuming and expensive to generate.</S>"
7.0,2011,0,0,"Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features","Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features",N12-1052,"Method_Citation,Hypothesis_Citation,Implication_Citation",P11-1061,"'20','111','18'","<S sid=""20"" ssid=""16"">Because there might be some controversy about the exact definitions of such universals, this set of coarse-grained POS categories is defined operationally, by collapsing language (or treebank) specific distinctions to a set of categories that exists across all languages.</S><S sid=""111"" ssid=""11"">We use the universal POS tagset of Petrov et al. (2011) in our experiments.10 This set C consists of the following 12 coarse-grained tags: NOUN (nouns), VERB (verbs), ADJ (adjectives), ADV (adverbs), PRON (pronouns), DET (determiners), ADP (prepositions or postpositions), NUM (numerals), CONJ (conjunctions), PRT (particles), PUNC (punctuation marks) and X (a catch-all for other categories such as abbreviations or foreign words).</S><S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S>"
8.0,2011,0,0,"We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters","We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters",N12-1052,"Method_Citation,Hypothesis_Citation,Implication_Citation",P11-1061,"'18','3','0'","<S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid=""3"" ssid=""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al., 2010).</S><S sid=""0"" ssid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S>"
9.0,"Das and Petrov, (2011)",0,0,"MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007)) .There have been two initial attempts to apply projection to create co reference-annotated data for aresource-poor language, both of which involve projecting hand-annotated co reference data from English to Romanian via a parallel corpus","MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007))",N12-1090,"Method_Citation,Hypothesis_Citation,Results_Citation,Implication_Citation",P11-1061,"'0','18','158'","<S sid=""0"" ssid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S><S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid=""158"" ssid=""1"">We have shown the efficacy of graph-based label propagation for projecting part-of-speech information across languages.</S>"
10.0,2011,0,0,"For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)","For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)",W11-2205,"Method_Citation,Hypothesis_Citation,Implication_Citation",P11-1061,"'27','16','0'","<S sid=""27"" ssid=""4"">Graph construction does not require any labeled data, but makes use of two similarity functions.</S><S sid=""16"" ssid=""12"">To this end, we construct a bilingual graph over word types to establish a connection between the two languages (§3), and then use graph label propagation to project syntactic information from English to the foreign language (§4).</S><S sid=""0"" ssid=""0"">Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections</S>"
11.0,"Das and Petrov, 2011",0,0,"(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages","(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages",P13-1155,"Method_Citation,Hypothesis_Citation,Implication_Citation",P11-1061,"'35','71','16'","<S sid=""35"" ssid=""1"">In graph-based learning approaches one constructs a graph whose vertices are labeled and unlabeled examples, and whose weighted edges encode the degree to which the examples they link have the same label (Zhu et al., 2003).</S><S sid=""71"" ssid=""2"">We use label propagation in two stages to generate soft labels on all the vertices in the graph.</S><S sid=""16"" ssid=""12"">To this end, we construct a bilingual graph over word types to establish a connection between the two languages (§3), and then use graph label propagation to project syntactic information from English to the foreign language (§4).</S>"
