Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Marker,Citation Offset,Citation Text,Citation Text Clean,Reference Offset,Reference Text,Discourse Facet
1,A97-1014,E99-1016,0,"Skut et al, 1997",0,"This type of model is used to facilitate the syntactic annotation of the NEGRA corpus of German newspaper texts (Skut et al, 1997)","This type of model is used to facilitate the syntactic annotation of the NEGRA corpus of German newspaper texts (Skut et al, 1997)","['4', '81', '79', '137', '162']","<S sid =""4"" ssid = ""1"">The work reported in this paper aims at providing syntactically annotated corpora (treebanks') for stochastic grammar induction.</S><S sid =""81"" ssid = ""26"">During the second annotation stage  the annotation is enriched with information about thematic roles  quantifier scope and anaphoric reference.</S><S sid =""79"" ssid = ""24"">PM stands for morphological particle  a label for German infinitival Z7t and superlative am.</S><S sid =""137"" ssid = ""18"">The following commands are available: The three tagsets used by the annotation tool (for words  phrases  and edges) are variable and are stored together with the corpus.</S><S sid =""162"" ssid = ""4"">We have argued that the selected approach is better suited for producing high quality interpreted corpora in languages exhibiting free constituent order.</S>",['Results_Citation']
2,A97-1014,E99-1016,0,"Skut et al, 1997",0,"For our experiments, we use the NEGRA corpus (Skut et al, 1997)","For our experiments, we use the NEGRA corpus (Skut et al, 1997)","['80', '4', '79', '58', '140']","<S sid =""80"" ssid = ""25"">Separable verb prefixes are labeled SVP.</S><S sid =""4"" ssid = ""1"">The work reported in this paper aims at providing syntactically annotated corpora (treebanks') for stochastic grammar induction.</S><S sid =""79"" ssid = ""24"">PM stands for morphological particle  a label for German infinitival Z7t and superlative am.</S><S sid =""58"" ssid = ""3"">Grammatical functions  encoded in edge labels  e.g.</S><S sid =""140"" ssid = ""21"">For the implementation  we used Tcl/Tk Version 4.1.</S>",['Method_Citation']
3,A97-1014,E12-1047,0,"Skut et al, 1997",0,"As data we use version 2 of the Negra (Skut et al1997) tree bank, with the common training ,devel 1 10 100 1000 10000 100000 3 4 5 6 7 8 9 Frequenc y Parsing complexity head-driven optimal head-driven Figure 6: The distribution of parsing complexity among productions in Markovized, head-driven grammars read off from NEGRA-25","As data we use version 2 of the Negra (Skut et al1997) tree bank, with the common training","['80', '4', '137', '56', '149']","<S sid =""80"" ssid = ""25"">Separable verb prefixes are labeled SVP.</S><S sid =""4"" ssid = ""1"">The work reported in this paper aims at providing syntactically annotated corpora (treebanks') for stochastic grammar induction.</S><S sid =""137"" ssid = ""18"">The following commands are available: The three tagsets used by the annotation tool (for words  phrases  and edges) are variable and are stored together with the corpus.</S><S sid =""56"" ssid = ""1"">We distinguish the following levels of representation: 'A context-free constituent backbone can still be recovered from the surface string and argument structure by reattaching 'extracted' structures to a higher node.</S><S sid =""149"" ssid = ""30"">During annotation  the highest rated grammatical function labels Gi are calculated using the Viterbi algorithm and assigned to the structure  i.e.  we calculate argma.x11 PQ (Ti 1Z-1  Ti.-2) PQ (Gi ITi).</S>",['Method_Citation']
5,A97-1014,I05-6010,0,1997,0,According to Skut et al (1997) tree banks have to meet the following requirements: 1,According to Skut et al (1997) tree banks have to meet the following requirements: 1,"['129', '140', '141', '116', '105']","<S sid =""129"" ssid = ""10"">In the second phase  secondary links and additional structural functions are supported.</S><S sid =""140"" ssid = ""21"">For the implementation  we used Tcl/Tk Version 4.1.</S><S sid =""141"" ssid = ""22"">The corpus is stored in a SQL database.</S><S sid =""116"" ssid = ""29"">This extra marking makes it easy to distinguish between 'normal' and coordinated categories.</S><S sid =""105"" ssid = ""18"">In addition  a. number of clear-cut NP cornponents can be defined outside that  juxtapositional kernel: pre- and postnominal genitives (GL  GR)  relative clauses (RC)  clausal and sentential complements (OC).</S>",['Method_Citation']
7,A97-1014,C10-1061,0,"Skut et al, 1997",0,"In contrast, some other tree banks, such as the German NeGra and TIGER tree banks allow annotation with crossing branches (Skut et al, 1997) .Non-local dependencies can then be expressed directly by grouping all dependent elements under a single node","In contrast, some other tree banks, such as the German NeGra and TIGER tree banks allow annotation with crossing branches (Skut et al, 1997). Non-local dependencies can then be expressed directly by grouping all dependent elements under a single node","['74', '137', '128', '56', '105']","<S sid =""74"" ssid = ""19"">During the first phase  the focus is on annotating correct structures and a coarse-grained classification of grammatical functions  which represent the following areas of information: Dependency type: complements are further classified according to features such as category and case: clausal complements (OC)  accusative objects (OA)  datives (DA)  etc.</S><S sid =""137"" ssid = ""18"">The following commands are available: The three tagsets used by the annotation tool (for words  phrases  and edges) are variable and are stored together with the corpus.</S><S sid =""128"" ssid = ""9"">In the first phase  the main functionality for building and displaying unordered trees is supplied.</S><S sid =""56"" ssid = ""1"">We distinguish the following levels of representation: 'A context-free constituent backbone can still be recovered from the surface string and argument structure by reattaching 'extracted' structures to a higher node.</S><S sid =""105"" ssid = ""18"">In addition  a. number of clear-cut NP cornponents can be defined outside that  juxtapositional kernel: pre- and postnominal genitives (GL  GR)  relative clauses (RC)  clausal and sentential complements (OC).</S>",['Method_Citation']
8,A97-1014,C10-1061,0,"Skut et al, 1997",0,"Our data source is the German NeGra tree bank (Skut et al, 1997)","Our data source is the German NeGra tree bank (Skut et al, 1997)","['55', '53', '120', '65', '14']","<S sid =""55"" ssid = ""45"">A uniform representation of local and non-local dependencies makes the structure more transparent'.</S><S sid =""53"" ssid = ""43"">A tree meeting these requirements is given below: Adv V NP NP V CPL NP V damn wird ihn Anna erkennen  dais er 'vein!</S><S sid =""120"" ssid = ""1"">The development of linguistically interpreted corpora presents a laborious and time-consuming task.</S><S sid =""65"" ssid = ""10"">The tree resembles traditional constituent structures.</S><S sid =""14"" ssid = ""4"">Corpora annotated with syntactic structures are commonly referred to as trctbank.5.</S>",['Method_Citation']
9,A97-1014,P05-1039,0,"Skut et al, 1997",0,"The parsing models we present are trained and tested on the NEGRA corpus (Skut et al, 1997), a hand parsed corpus of German newspaper text containing approximately 20,000 sentences","The parsing models we present are trained and tested on the NEGRA corpus (Skut et al, 1997), a hand parsed corpus of German newspaper text containing approximately 20,000 sentences","['74', '58', '80', '149', '56']","<S sid =""74"" ssid = ""19"">During the first phase  the focus is on annotating correct structures and a coarse-grained classification of grammatical functions  which represent the following areas of information: Dependency type: complements are further classified according to features such as category and case: clausal complements (OC)  accusative objects (OA)  datives (DA)  etc.</S><S sid =""58"" ssid = ""3"">Grammatical functions  encoded in edge labels  e.g.</S><S sid =""80"" ssid = ""25"">Separable verb prefixes are labeled SVP.</S><S sid =""149"" ssid = ""30"">During annotation  the highest rated grammatical function labels Gi are calculated using the Viterbi algorithm and assigned to the structure  i.e.  we calculate argma.x11 PQ (Ti 1Z-1  Ti.-2) PQ (Gi ITi).</S><S sid =""56"" ssid = ""1"">We distinguish the following levels of representation: 'A context-free constituent backbone can still be recovered from the surface string and argument structure by reattaching 'extracted' structures to a higher node.</S>",['Method_Citation']
10,A97-1014,P03-1013,0,"Skut et al, 1997",0,"The present paper addresses this question by proposing a probabilistic parsing model trained on Negra (Skut et al, 1997), a syntactically annotated corpus for German","The present paper addresses this question by proposing a probabilistic parsing model trained on Negra (Skut et al, 1997), a syntactically annotated corpus for German","['80', '74', '56', '58', '149']","<S sid =""80"" ssid = ""25"">Separable verb prefixes are labeled SVP.</S><S sid =""74"" ssid = ""19"">During the first phase  the focus is on annotating correct structures and a coarse-grained classification of grammatical functions  which represent the following areas of information: Dependency type: complements are further classified according to features such as category and case: clausal complements (OC)  accusative objects (OA)  datives (DA)  etc.</S><S sid =""56"" ssid = ""1"">We distinguish the following levels of representation: 'A context-free constituent backbone can still be recovered from the surface string and argument structure by reattaching 'extracted' structures to a higher node.</S><S sid =""58"" ssid = ""3"">Grammatical functions  encoded in edge labels  e.g.</S><S sid =""149"" ssid = ""30"">During annotation  the highest rated grammatical function labels Gi are calculated using the Viterbi algorithm and assigned to the structure  i.e.  we calculate argma.x11 PQ (Ti 1Z-1  Ti.-2) PQ (Gi ITi).</S>",['Method_Citation']
11,A97-1014,P03-1013,0,"Skut et al, 1997",0,"The annotation scheme (Skut et al, 1997) is modeled to a certain extent on that of the Penn Treebank (Marcuset al, 1993), with crucial differences","The annotation scheme (Skut et al, 1997) is modeled to a certain extent on that of the Penn Treebank (Marcuset al, 1993), with crucial differences","['80', '56', '58', '137', '149']","<S sid =""80"" ssid = ""25"">Separable verb prefixes are labeled SVP.</S><S sid =""56"" ssid = ""1"">We distinguish the following levels of representation: 'A context-free constituent backbone can still be recovered from the surface string and argument structure by reattaching 'extracted' structures to a higher node.</S><S sid =""58"" ssid = ""3"">Grammatical functions  encoded in edge labels  e.g.</S><S sid =""137"" ssid = ""18"">The following commands are available: The three tagsets used by the annotation tool (for words  phrases  and edges) are variable and are stored together with the corpus.</S><S sid =""149"" ssid = ""30"">During annotation  the highest rated grammatical function labels Gi are calculated using the Viterbi algorithm and assigned to the structure  i.e.  we calculate argma.x11 PQ (Ti 1Z-1  Ti.-2) PQ (Gi ITi).</S>",['Method_Citation']
13,A97-1014,W04-1505,0,"Skut et al, 1997",0,"German is con sider ably more in ectional which means that discarding functional information is more harmful, and which explains why the NEGRA an notation has been conceived to be quite at (Skut et al, 1997)","German is considerably more in ectional which means that discarding functional information is more harmful, and which explains why the NEGRA annotation has been conceived to be quite at (Skut et al, 1997)","['3', '88', '5', '164', '168']","<S sid =""3"" ssid = ""3"">The resulting scheme reflects a stratificational notion of language  and makes only minimal assumpabout the interrelation of the particu- •lar representational strata.</S><S sid =""88"" ssid = ""1"">As theory-independence is one of our objectives  the annotation scheme incorporates a number of widely accepted linguistic analyses  especially in the area of verbal  adverbial and adjectival syntax.</S><S sid =""5"" ssid = ""2"">In particular  we focus on several methodological issues concerning the annotation of non-configurational languages.</S><S sid =""164"" ssid = ""6"">As modern linguistics is also becoming more aware of the importance of larger sets of naturally occurring data.  interpreted corpora. are a. valuable resource for theoretical and descriptive linguistic research.</S><S sid =""168"" ssid = ""10"">We will closely coordinate the further development of our corpus with the annotation work in Verbmobil and with other German efforts in corpus annotation.</S>",['Method_Citation']
