Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Marker,Citation Offset,Citation Text,Citation Text Clean,Reference Offset,Reference Text,Discourse Facet
1,P11-1061,P11-1144,0,2011,0,Subramanya et al? s model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers,Subramanya et al's model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers,"['3', '18', '9', '1', '113']","<S sid =""3"" ssid = ""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al.  2010).</S><S sid =""18"" ssid = ""14"">To make the projection practical  we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S><S sid =""9"" ssid = ""5"">Unfortunately  the best completely unsupervised English POS tagger (that does not make use of a tagging dictionary) reaches only 76.1% accuracy (Christodoulopoulos et al.  2010)  making its practical usability questionable at best.</S><S sid =""1"" ssid = ""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data  but have translated text in a resource-rich language.</S><S sid =""113"" ssid = ""13"">For each language under consideration  Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S>",['Results_Citation']
3,P11-1061,P14-1126,0,2011,0,"Fortunately, some recently proposed POS taggers, such as the POStagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach","Fortunately, some recently proposed POS taggers, such as the POS tagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach","['120', '24', '1', '39', '2']","<S sid =""120"" ssid = ""20"">We were intentionally lenient with our baselines: bilingual information by projecting POS tags directly across alignments in the parallel data.</S><S sid =""24"" ssid = ""1"">The focus of this work is on building POS taggers for foreign languages  assuming that we have an English POS tagger and some parallel text between the two languages.</S><S sid =""1"" ssid = ""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data  but have translated text in a resource-rich language.</S><S sid =""39"" ssid = ""5"">They considered a semi-supervised POS tagging scenario and showed that one can use a graph over trigram types  and edge weights based on distributional similarity  to improve a supervised conditional random field tagger.</S><S sid =""2"" ssid = ""2"">Our method does not assume any knowledge about the target language (in particular no tagging dictionary is assumed)  making it applicable to a wide array of resource-poor languages.</S>",['Method_Citation']
4,P11-1061,N12-1086,0,"Das and Petrov, 2011",0,"Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning ofPOS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)","Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning of POS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)","['3', '113', '13', '37', '39']","<S sid =""3"" ssid = ""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al.  2010).</S><S sid =""113"" ssid = ""13"">For each language under consideration  Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S><S sid =""13"" ssid = ""9"">(2009) study related but different multilingual grammar and tagger induction tasks  where it is assumed that no labeled data at all is available.</S><S sid =""37"" ssid = ""3"">Altun et al. (2005) proposed a technique that uses graph based similarity between labeled and unlabeled parts of structured data in a discriminative framework for semi-supervised learning.</S><S sid =""39"" ssid = ""5"">They considered a semi-supervised POS tagging scenario and showed that one can use a graph over trigram types  and edge weights based on distributional similarity  to improve a supervised conditional random field tagger.</S>",['Method_Citation']
5,P11-1061,N12-1086,0,2011,0,"Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics","Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics","['52', '37', '28', '46', '47']","<S sid =""52"" ssid = ""18"">This is similar to stacking the different feature instantiations into long (sparse) vectors and computing the cosine similarity between them.</S><S sid =""37"" ssid = ""3"">Altun et al. (2005) proposed a technique that uses graph based similarity between labeled and unlabeled parts of structured data in a discriminative framework for semi-supervised learning.</S><S sid =""28"" ssid = ""5"">The edge weights between the foreign language trigrams are computed using a co-occurence based similarity function  designed to indicate how syntactically similar the middle words of the connected trigrams are (§3.2).</S><S sid =""46"" ssid = ""12"">We use two different similarity functions to define the edge weights among the foreign vertices and between vertices from different languages.</S><S sid =""47"" ssid = ""13"">Our monolingual similarity function (for connecting pairs of foreign trigram types) is the same as the one used by Subramanya et al. (2010).</S>",['Method_Citation']
6,P11-1061,N12-1086,0,"Das and Petrov, 2011",0,"Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)","Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)","['127', '126', '3', '20', '74']","<S sid =""127"" ssid = ""27"">Furthermore we expect the label distributions on the foreign to be fairly noisy  because the graph constraints have not been taken into account yet.</S><S sid =""126"" ssid = ""26"">Because many foreign word types are not aligned to an English word (see Table 3)  and we do not run label propagation on the foreign side  we expect the projected information to have less coverage.</S><S sid =""3"" ssid = ""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al.  2010).</S><S sid =""20"" ssid = ""16"">Because there might be some controversy about the exact definitions of such universals  this set of coarse-grained POS categories is defined operationally  by collapsing language (or treebank) specific distinctions to a set of categories that exists across all languages.</S><S sid =""74"" ssid = ""5"">This stage of label propagation results in a tag distribution ri over labels y  which encodes the proportion of times the middle word of ui E Vf aligns to English words vy tagged with label y: The second stage consists of running traditional label propagation to propagate labels from these peripheral vertices Vf� to all foreign language vertices in the graph  optimizing the following objective: 5 POS Induction After running label propagation (LP)  we compute tag probabilities for foreign word types x by marginalizing the POS tag distributions of foreign trigrams ui = x− x x+ over the left and right context words: where the qi (i = 1  ...   |Vf|) are the label distributions over the foreign language vertices and µ and ν are hyperparameters that we discuss in §6.4.</S>",['Method_Citation']
7,P11-1061,N12-1052,0,2011,0,"Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features","Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features","['113', '118', '2', '57', '20']","<S sid =""113"" ssid = ""13"">For each language under consideration  Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S><S sid =""118"" ssid = ""18"">Therefore  the number of fine tags varied across languages for our experiments; however  one could as well have fixed the set of HMM states to be a constant across languages  and created one mapping to the universal POS tagset.</S><S sid =""2"" ssid = ""2"">Our method does not assume any knowledge about the target language (in particular no tagging dictionary is assumed)  making it applicable to a wide array of resource-poor languages.</S><S sid =""57"" ssid = ""23"">Since our graph is built from a parallel corpus  we can use standard word alignment techniques to align the English sentences De 5Note that many combinations are impossible giving a PMI value of 0; e.g.  when the trigram type and the feature instantiation don’t have words in common. and their foreign language translations Df.6 Label propagation in the graph will provide coverage and high recall  and we therefore extract only intersected high-confidence (> 0.9) alignments De�f.</S><S sid =""20"" ssid = ""16"">Because there might be some controversy about the exact definitions of such universals  this set of coarse-grained POS categories is defined operationally  by collapsing language (or treebank) specific distinctions to a set of categories that exists across all languages.</S>",['Method_Citation']
8,P11-1061,N12-1052,0,2011,0,"We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters","We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters","['88', '47', '113', '37', '18']","<S sid =""88"" ssid = ""19"">In our experiments  we used the same set of features as BergKirkpatrick et al. (2010): an indicator feature based In a traditional Markov model  the emission distribution PΘ(Xi = xi  |Zi = zi) is a set of multinomials.</S><S sid =""47"" ssid = ""13"">Our monolingual similarity function (for connecting pairs of foreign trigram types) is the same as the one used by Subramanya et al. (2010).</S><S sid =""113"" ssid = ""13"">For each language under consideration  Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S><S sid =""37"" ssid = ""3"">Altun et al. (2005) proposed a technique that uses graph based similarity between labeled and unlabeled parts of structured data in a discriminative framework for semi-supervised learning.</S><S sid =""18"" ssid = ""14"">To make the projection practical  we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S>",['Method_Citation']
9,P11-1061,N12-1090,0,"Das and Petrov, (2011)",0,"MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007)) .There have been two initial attempts to apply projection to create co reference-annotated data for aresource-poor language, both of which involve projecting hand-annotated co reference data from English to Romanian via a parallel corpus","MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007))","['104', '19', '6', '39', '38']","<S sid =""104"" ssid = ""4"">For monolingual treebank data we relied on the CoNLL-X and CoNLL-2007 shared tasks on dependency parsing (Buchholz and Marsi  2006; Nivre et al.  2007).</S><S sid =""19"" ssid = ""15"">Syntactic universals are a well studied concept in linguistics (Carnie  2002; Newmeyer  2005)  and were recently used in similar form by Naseem et al. (2010) for multilingual grammar induction.</S><S sid =""6"" ssid = ""2"">Supervised part-of-speech (POS) taggers  for example  approach the level of inter-annotator agreement (Shen et al.  2007  97.3% accuracy for English).</S><S sid =""39"" ssid = ""5"">They considered a semi-supervised POS tagging scenario and showed that one can use a graph over trigram types  and edge weights based on distributional similarity  to improve a supervised conditional random field tagger.</S><S sid =""38"" ssid = ""4"">More recently  Subramanya et al. (2010) defined a graph over the cliques in an underlying structured prediction model.</S>",['Method_Citation']
10,P11-1061,W11-2205,0,2011,0,"For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)","For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)","['113', '1', '13', '2', '24']","<S sid =""113"" ssid = ""13"">For each language under consideration  Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S><S sid =""1"" ssid = ""1"">We describe a novel approach for inducing unsupervised part-of-speech taggers for languages that have no labeled training data  but have translated text in a resource-rich language.</S><S sid =""13"" ssid = ""9"">(2009) study related but different multilingual grammar and tagger induction tasks  where it is assumed that no labeled data at all is available.</S><S sid =""2"" ssid = ""2"">Our method does not assume any knowledge about the target language (in particular no tagging dictionary is assumed)  making it applicable to a wide array of resource-poor languages.</S><S sid =""24"" ssid = ""1"">The focus of this work is on building POS taggers for foreign languages  assuming that we have an English POS tagger and some parallel text between the two languages.</S>",['Method_Citation']
11,P11-1061,P13-1155,0,"Das and Petrov, 2011",0,"(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages","(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages","['3', '70', '24', '113', '21']","<S sid =""3"" ssid = ""3"">We use graph-based label propagation for cross-lingual knowledge transfer and use the projected labels as features in an unsupervised model (Berg- Kirkpatrick et al.  2010).</S><S sid =""70"" ssid = ""1"">Given the bilingual graph described in the previous section  we can use label propagation to project the English POS labels to the foreign language.</S><S sid =""24"" ssid = ""1"">The focus of this work is on building POS taggers for foreign languages  assuming that we have an English POS tagger and some parallel text between the two languages.</S><S sid =""113"" ssid = ""13"">For each language under consideration  Petrov et al. (2011) provide a mapping A from the fine-grained language specific POS tags in the foreign treebank to the universal POS tags.</S><S sid =""21"" ssid = ""17"">These universal POS categories not only facilitate the transfer of POS information from one language to another  but also relieve us from using controversial evaluation metrics 2 by establishing a direct correspondence between the induced hidden states in the foreign language and the observed English labels.</S>",['Method_Citation']
