Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Marker,Citation Offset,Citation Text,Citation Text Clean,Reference Offset,Reference Text,Discourse Facet
1,W06-3114,W06-3120,0,"Koehn and Monz, 2006",0,"The official results were slightly better because a lowercase evaluation was used, see (Koehn and Monz, 2006)","The official results were slightly better because a lowercase evaluation was used, see (Koehn and Monz, 2006)","'35','70','8','108'","<S ssid=""1"" sid=""35"">For the automatic evaluation, we used BLEU, since it is the most established metric in the field.</S><S ssid=""1"" sid=""70"">See Figure 3 for a screenshot of the evaluation tool.</S><S ssid=""1"" sid=""8"">The evaluation framework for the shared task is similar to the one used in last year’s shared task.</S><S ssid=""1"" sid=""108"">The results of the manual and automatic evaluation of the participating system translations is detailed in the figures at the end of this paper.</S>",['method_citation']
2,W06-3114,D07-1092,0,"Koehn and Monz, 2006",0,"We are further focusing on the shared task of the workshop on Statistical Machine Translation, which took place last year (Koehn and Monz, 2006) and consisted in translating Spanish, German, and French texts from and to English","We are further focusing on the shared task of the workshop on Statistical Machine Translation, which took place last year (Koehn and Monz, 2006) and consisted in translating Spanish, German, and French texts from and to English","'6','151','29','8'","<S ssid=""1"" sid=""6"">English was again paired with German, French, and Spanish.</S><S ssid=""1"" sid=""151"">The statistical systems seem to still lag behind the commercial rule-based competition when translating into morphological rich languages, as demonstrated by the results for English-German and English-French.</S><S ssid=""1"" sid=""29"">About half of the participants of last year’s shared task participated again.</S><S ssid=""1"" sid=""8"">The evaluation framework for the shared task is similar to the one used in last year’s shared task.</S>",['result_citation']
3,W06-3114,C08-1074,0,"Koehn and Monz, 2006",0,"For our training and test data we used the English-French subset of the Europarl corpus provided for the shared task (Koehn and Monz, 2006) at the Statistical Machine Translation workshop held in conjunction with the 2006 HLT-NAACL conference","For our training and test data we used the English-French subset of the Europarl corpus provided for the shared task (Koehn and Monz, 2006) at the Statistical Machine Translation workshop held in conjunction with the 2006 HLT-NAACL conference","'16','47','9','14'","<S ssid=""1"" sid=""16"">The test data was again drawn from a segment of the Europarl corpus from the fourth quarter of 2000, which is excluded from the training data.</S><S ssid=""1"" sid=""47"">Because of this, we retokenized and lowercased submitted output with our own tokenizer, which was also used to prepare the training and test data.</S><S ssid=""1"" sid=""9"">Training and testing is based on the Europarl corpus.</S><S ssid=""1"" sid=""14"">There is twice as much language modelling data, since training data for the machine translation system is filtered against sentences of length larger than 40 words.</S>",['method_citation']
4,W06-3114,W07-0718,0,"Koehn and Monz, 2006",0,"The results of last year? s workshop further suggested that Bleu systematically underestimated the quality of rule-based machine translation systems (Koehn and Monz, 2006)","The results of last year's workshop further suggested that Bleu systematically underestimated the quality of rule-based machine translation systems (Koehn and Monz, 2006)","'171','62','90','140'","<S ssid=""1"" sid=""171"">While many systems had similar performance, the results offer interesting insights, especially about the relative performance of statistical and rule-based systems.</S><S ssid=""1"" sid=""62"">While automatic measures are an invaluable tool for the day-to-day development of machine translation systems, they are only a imperfect substitute for human assessment of translation quality, or as the acronym BLEU puts it, a bilingual evaluation understudy.</S><S ssid=""1"" sid=""90"">Another way to view the judgements is that they are less quality judgements of machine translation systems per se, but rankings of machine translation systems.</S><S ssid=""1"" sid=""140"">We confirm the finding by Callison-Burch et al. (2006) that the rule-based system of Systran is not adequately appreciated by BLEU.</S>",['method_citation']
5,W06-3114,P07-1083,0,"Koehn and Monz, 2006",0,"For the bi text-based annotation, we use publicly available word alignments from the Europarl corpus, automatically generated by GIZA++ for FrenchEnglish (Fr), Spanish-English (Es) and GermanEnglish (De) (Koehn and Monz, 2006)","For the bi text-based annotation, we use publicly available word alignments from the Europarl corpus, automatically generated by GIZA++ for FrenchEnglish (Fr), Spanish-English (Es) and German-English (De) (Koehn and Monz, 2006)","'9','6','28'","<S ssid=""1"" sid=""9"">Training and testing is based on the Europarl corpus.</S><S ssid=""1"" sid=""6"">English was again paired with German, French, and Spanish.</S><S ssid=""1"" sid=""28"">Systran submitted their commercial rule-based system that was not tuned to the Europarl corpus.</S>",['method_citation']
6,W06-3114,W07-0738,0,2006,0,"Evaluation results recently reported by Callison-Burch et al (2006) and Koehn and Monz (2006), revealed that, in certain cases, the BLEU metric may not be a reliable MTquality indicator","Evaluation results recently reported by Callison-Burch et al (2006) and Koehn and Monz (2006), revealed that, in certain cases, the BLEU metric may not be a reliable MTquality indicator","'140','39','35'","<S ssid=""1"" sid=""140"">We confirm the finding by Callison-Burch et al. (2006) that the rule-based system of Systran is not adequately appreciated by BLEU.</S><S ssid=""1"" sid=""39"">However, a recent study (Callison-Burch et al., 2006), pointed out that this correlation may not always be strong.</S><S ssid=""1"" sid=""35"">For the automatic evaluation, we used BLEU, since it is the most established metric in the field.</S>",['method_citation']
7,W06-3114,W07-0738,0,2006,0,"For instance, Callison-Burch et al (2006) and Koehn and Monz (2006) reported and analyzed several cases of strong disagreement between system rankings provided by human assessors and those produced by the BLEU metric (Papineni et al, 2001)","For instance, Callison-Burch et al (2006) and Koehn and Monz (2006) reported and analyzed several cases of strong disagreement between system rankings provided by human assessors and those produced by the BLEU metric (Papineni et al, 2001)","'140','39'","<S ssid=""1"" sid=""140"">We confirm the finding by Callison-Burch et al. (2006) that the rule-based system of Systran is not adequately appreciated by BLEU.</S><S ssid=""1"" sid=""39"">However, a recent study (Callison-Burch et al., 2006), pointed out that this correlation may not always be strong.</S>",['method_citation']
8,W06-3114,W07-0738,0,2006,0,Wepresenta comparative study on the behavior of several metric representatives from each linguistic level in the context of some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006) (see Section 3),We present a comparative study on the behavior of several metric representatives from each linguistic level in the context of some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006) (see Section 3),"'140','39'","<S ssid=""1"" sid=""140"">We confirm the finding by Callison-Burch et al. (2006) that the rule-based system of Systran is not adequately appreciated by BLEU.</S><S ssid=""1"" sid=""39"">However, a recent study (Callison-Burch et al., 2006), pointed out that this correlation may not always be strong.</S>",['method_citation']
9,W06-3114,W07-0738,0,2006,0,Weanalyze some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006),We analyze some of the cases reported by Koehn and Monz (2006) and Callison-Burch et al (2006),"'140','39'","<S ssid=""1"" sid=""140"">We confirm the finding by Callison-Burch et al. (2006) that the rule-based system of Systran is not adequately appreciated by BLEU.</S><S ssid=""1"" sid=""39"">However, a recent study (Callison-Burch et al., 2006), pointed out that this correlation may not always be strong.</S>",['method_citation']
10,W06-3114,D07-1030,0,"Koehn and Monz, 2006",0,"We use the same method described in (Koehn and Monz, 2006) to perform the significance test","We use the same method described in (Koehn and Monz, 2006) to perform the significance test","'49','52','122','102'","<S ssid=""1"" sid=""49"">Hence, we use the bootstrap resampling method described by Koehn (2004).</S><S ssid=""1"" sid=""52"">Pairwise comparison: We can use the same method to assess the statistical significance of one system outperforming another.</S><S ssid=""1"" sid=""122"">While the Bootstrap method is slightly more sensitive, it is very much in line with the sign test on text blocks.</S><S ssid=""1"" sid=""102"">Confidence Interval: To estimate confidence intervals for the average mean scores for the systems, we use standard significance testing.</S>",['method_citation']
