Citance Number,Citation Marker,Citation Marker Offset,Citation Offset,Citation Text,Citing Article,Discourse Facet,Reference Article,Reference Offset,Reference Text,Reference Text Clean,fileName
1,2011,0,0,Subramanya et al? s model was extended by Das and Petrov (2011) to induce part-of-speech dictionaries for unsupervised learning of taggers,P11-1144,Hypothesis_Citation,P11-1061,'32',"<S sid=""32"" ssid=""9"">Label propagation can then be used to transfer the labels to the peripheral foreign vertices (i.e. the ones adjacent to the English vertices) first, and then among all of the foreign vertices (&#167;4).</S>","<S sid=""32"" ssid=""9"">Label propagation can then be used to transfer the labels to the peripheral foreign vertices (i.e. the ones adjacent to the English vertices) first, and then among all of the foreign vertices (&#167;4).</S>",P11-1061.csv
3,2011,0,0,"Fortunately, some recently proposed POS taggers, such as the POStagger of Das and Petrov (2011), rely only on labeled training data for English and the same kind of parallel text in our approach",P14-1126,Method_Citation,P11-1061,'119',"<S sid=""119"" ssid=""19"">To provide a thorough analysis, we evaluated three baselines and two oracles in addition to two variants of our graph-based approach.</S>","<S sid=""119"" ssid=""19"">To provide a thorough analysis, we evaluated three baselines and two oracles in addition to two variants of our graph-based approach.</S>",P11-1061.csv
4,"Das and Petrov, 2011",0,0,"Applications have ranged from domain adaptation of part-of-speech (POS) taggers (Subramanya et al, 2010), unsupervised learning ofPOS taggers by using bilingual graph-based projections (Das and Petrov, 2011), and shallow semantic parsing for unknown predicates (Das and Smith,2011)",N12-1086,Implication_Citation,P11-1061,'10',"<S sid=""10"" ssid=""6"">To bridge this gap, we consider a practically motivated scenario, in which we want to leverage existing resources from a resource-rich language (like English) when building tools for resource-poor foreign languages.1 We assume that absolutely no labeled training data is available for the foreign language of interest, but that we have access to parallel data with a resource-rich language.</S>","<S sid=""10"" ssid=""6"">To bridge this gap, we consider a practically motivated scenario, in which we want to leverage existing resources from a resource-rich language (like English) when building tools for resource-poor foreign languages.1 We assume that absolutely no labeled training data is available for the foreign language of interest, but that we have access to parallel data with a resource-rich language.</S>",P11-1061.csv
5,2011,0,0,"Following Das and Petrov (2011) and Subramanya et al (2010), a similarity score between two trigram types was computed by measuring the cosine similarity between their empirical sentential context statistics",N12-1086,Method_Citation,P11-1061,'18',"<S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S>","<S sid=""18"" ssid=""14"">To make the projection practical, we rely on the twelve universal part-of-speech tags of Petrov et al. (2011).</S>",P11-1061.csv
6,"Das and Petrov, 2011",0,0,"Sparsity is desirable in settings where labeled development data for tuning thresholds that select the most probable labels for a given type is unavailable (e.g., Das and Petrov, 2011)",N12-1086,Method_Citation,P11-1061,'82',"<S sid=""82"" ssid=""13"">We formulate the update as follows: where &#8704;ui &#8712; Vf \ Vfl, &#947;i(y) and &#954;i are defined as: We ran this procedure for 10 iterations.</S>","<S sid=""82"" ssid=""13"">We formulate the update as follows: where &#8704;ui &#8712; Vf \ Vfl, &#947;i(y) and &#954;i are defined as: We ran this procedure for 10 iterations.</S>",P11-1061.csv
7,2011,0,0,"Specifically, by replacing fine-grained language specific part-of-speech tags with universal part-of-speech tags, generated with the method described by Das and Petrov (2011), a universal parser is achieved that can be applied to any language for which universal part-of-speech tags are available. Below, we extend this approach to universal parsing by adding cross-lingual word cluster features",N12-1052,Implication_Citation,P11-1061,'148',"<S sid=""148"" ssid=""11"">Our full model outperforms the &#8220;No LP&#8221; setting because it has better vocabulary coverage and allows the extraction of a larger set of constraint features.</S>","<S sid=""148"" ssid=""11"">Our full model outperforms the &#8220;No LP&#8221; setting because it has better vocabulary coverage and allows the extraction of a larger set of constraint features.</S>",P11-1061.csv
8,2011,0,0,"We study the impact of using cross-lingual cluster features by comparing the strong delexicalized baseline model of McDonald et al (2011), which only has features derived from universal part-of-speech tags, projected from English with the method of Das and Petrov (2011), to the same model when adding features derived from cross-lingual clusters",N12-1052,Results_Citation,P11-1061,'108',"<S sid=""108"" ssid=""8"">However, we needed to restrict ourselves to these languages in order to be able to evaluate the performance of our approach.</S>","<S sid=""108"" ssid=""8"">However, we needed to restrict ourselves to these languages in order to be able to evaluate the performance of our approach.</S>",P11-1061.csv
9,"Das and Petrov, (2011)",0,0,"MT-based projection has been applied to various NLP tasks, such as part of-speech tagging (e.g., Das and Petrov (2011)), mention detection (e.g., Zitouni and Florian (2008)), and sentiment analysis (e.g., Mihalcea et al (2007)) .There have been two initial attempts to apply projection to create co reference-annotated data for aresource-poor language, both of which involve projecting hand-annotated co reference data from English to Romanian via a parallel corpus",N12-1090,Implication_Citation,P11-1061,'42',"<S sid=""42"" ssid=""8"">The foreign language vertices (denoted by Vf) correspond to foreign trigram types, exactly as in Subramanya et al. (2010).</S>","<S sid=""42"" ssid=""8"">The foreign language vertices (denoted by Vf) correspond to foreign trigram types, exactly as in Subramanya et al. (2010).</S>",P11-1061.csv
10,2011,0,0,"For example, the multilingual PoS induction approach of Das and Petrov (2011) assumes no supervision for the language whose PoS tags are being 35 induced, but it assumes access to a labeled dataset of a different language. We begin by surveying recent work on unsupervised PoS tagging, focusing on the issue of evaluation (Section 2)",W11-2205,Results_Citation,P11-1061,'135',"<S sid=""135"" ssid=""35"">For seven out of eight languages a threshold of 0.2 gave the best results for our final model, which indicates that for languages without any validation set, r = 0.2 can be used.</S>","<S sid=""135"" ssid=""35"">For seven out of eight languages a threshold of 0.2 gave the best results for our final model, which indicates that for languages without any validation set, r = 0.2 can be used.</S>",P11-1061.csv
11,"Das and Petrov, 2011",0,0,"(Das and Petrov, 2011) used graph-based label propagation for cross-lingual knowledge transfers to induce POS tags between two languages",P13-1155,Implication_Citation,P11-1061,'24',"<S sid=""24"" ssid=""1"">The focus of this work is on building POS taggers for foreign languages, assuming that we have an English POS tagger and some parallel text between the two languages.</S>","<S sid=""24"" ssid=""1"">The focus of this work is on building POS taggers for foreign languages, assuming that we have an English POS tagger and some parallel text between the two languages.</S>",P11-1061.csv
