Citance Number,Reference Article,Citing Article,Citation Marker Offset,Citation Offset,Citation Text,Reference Offset,Reference Text,Discourse Facet
5,A00-2030,W01-0510,0.0,0.0,"Similar to the approach in (Miller et al, 2000) we initialized the SLM statistics from the UPenn Tree bank parse trees",['60'],"<S sid =""60"" ssid = ""1"">In our statistical model, trees are generated according to a process similar to that described in (Collins 1996, 1997).</S>",Method_Citation
8,A00-2030,P05-1053,0.0,0.0,"Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees",['33'],"<S sid =""33"" ssid = ""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S>",Method_Citation
8,A00-2030,P05-1053,0.0,0.0,"Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees",['34'],"<S sid =""34"" ssid = ""2"">In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S>",Method_Citation
8,A00-2030,P05-1053,0.0,0.0,"Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees",['52'],"<S sid =""52"" ssid = ""1"">In this section, we describe the algorithm that was used to automatically produce augmented trees, starting with a) human-generated semantic annotations and b) machinegenerated syntactic parse trees.</S>",Impact_Citation
11,A00-2030,P04-1054,0.0,0.0,Miller et al (2000) propose an integrated statistical parsing technique that augments parse trees with semantic labels denoting entity and relation types,['33'],"<S sid =""33"" ssid = ""1"">Our integrated model represents syntax and semantics jointly using augmented parse trees.</S>",Method_Citation
11,A00-2030,P04-1054,0.0,0.0,Miller et al (2000) propose an integrated statistical parsing technique that augments parse trees with semantic labels denoting entity and relation types,['34'],"<S sid =""34"" ssid = ""2"">In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S>",Method_Citation
11,A00-2030,P04-1054,0.0,0.0,Miller et al (2000) propose an integrated statistical parsing technique that augments parse trees with semantic labels denoting entity and relation types,['58'],"<S sid =""58"" ssid = ""4"">Whenever a relation involves an entity that is not a direct descendant of that relation in the parse tree, semantic pointer labels are attached to all of the intermediate nodes.</S>",Impact_Citation
14,A00-2030,N07-2041,0.0,0.0,"Similar to the approach in (Miller et al, 2000) and (Kulick et al, 2004), our parser integrates both syntactic and semantic annotations into a single annotation as shown in Figure 2",['50'],"<S sid =""50"" ssid = ""10"">Figure 4 shows an example of the semantic annotation, which was the only type of manual annotation we performed.</S>",Impact_Citation
15,A00-2030,W10-2924,0.0,0.0,Miller et al (2000) adapt a probabilistic context-free parser for information extraction by augmenting syntactic labels with entity and relation labels,['2'],"<S sid =""2"" ssid = ""2"">In this paper we report adapting a lexic al ized, probabilistic context-free parser to information extraction and evaluate this new technique on MUC-7 template elements and template relations.</S>",Method_Citation
15,A00-2030,W10-2924,0.0,0.0,Miller et al (2000) adapt a probabilistic context-free parser for information extraction by augmenting syntactic labels with entity and relation labels,['6'],"<S sid =""6"" ssid = ""4"">In this paper, we report adapting a lexicalized, probabilistic context-free parser with head rules (LPCFG-HR) to information extraction.</S>",Method_Citation
15,A00-2030,W10-2924,0.0,0.0,Miller et al (2000) adapt a probabilistic context-free parser for information extraction by augmenting syntactic labels with entity and relation labels,['34'],"<S sid =""34"" ssid = ""2"">In these trees, the standard TREEBANK structures are augmented to convey semantic information, that is, entities and relations.</S>",Method_Citation
15,A00-2030,W10-2924,0.0,0.0,Miller et al (2000) adapt a probabilistic context-free parser for information extraction by augmenting syntactic labels with entity and relation labels,['104'],"<S sid =""104"" ssid = ""1"">We have demonstrated, at least for one problem, that a lexicalized, probabilistic context-free parser with head rules (LPCFGHR) can be used effectively for information extraction.</S>",Impact_Citation
