Citance Number: 1 | Reference Article:  C90-2039.txt | Citing Article:  P99-1061.txt | Citation Marker Offset:  8313-8325 | Citation Marker:  Kogure, 1990 | Citation Offset:  8258-8532 | Citation Text:  Tomabechi's approach still suffers from what Kogure (Kogure, 1990) calls redundant copying. The new feature structures produced in the second phase of unification include copies of all the substructures of the input graphs, even when these structures are unchanged | Reference Offset:  ['21', '22'] | Reference Text:  However, the problem with his method is that a unification result graph consists only of newly created structures. This is unnecessary because there are often input subgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph ... Copying sharable parts is called redundant copying | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 2 | Reference Article:  C90-2039.txt | Citing Article:  C92-1059.txt | Citation Marker Offset:  6942-6945 | Citation Marker:  16 | Citation Offset:  6820-6938 | Citation Text:  Based on this paper's formalization, unification algorithms have been developed using graph unification techniques[ ... 16] | Reference Offset:  ['23'] | Reference Text:  Strategic Lazy Incremental Copy Graph Unification | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  C90-2039.txt | Citing Article:  C92-1059.txt | Citation Marker Offset:  33181-33253 | Citation Marker:  16 | Citation Offset:  6942-6944 | Citation Text:  Other versions based on more efficient graph unification methods such as ... Kogure's method [ ... 16) | Reference Offset:  ['0'] | Reference Text:  Strategic Lazy Incremental Copy Graph Unification | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 4 | Reference Article:  C90-2039.txt | Citing Article:  C90-3046.txt | Citation Marker Offset:  16013-16082 | Citation Marker:   6 | Citation Offset:  15870-16011 | Citation Text:  This is inefficient with many copy operations due to unifications of unnecessary features that do not contribute to successful unification [6] | Reference Offset:  ['3'] | Reference Text:  The other, called the strategic incremental copy graph unification method, uses an early failure finding strategy which first tries to unify substructures tending to fail in unification; | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 5 | Reference Article:  C90-2039.txt | Citing Article:  C90-3046.txt | Citation Marker Offset:  16060-16061 | Citation Marker:  6 | Citation Offset:  16009-16010 | Citation Text:  6 | Reference Offset:  ['25', '179', '180', '181'] | Reference Text:  The redundantly copied parts are relatively large when input graphs have few common feature paths ... such cases occur very frequently in unifying definite and disjunct's definite parts ... In a system where FS unification is applied, there are features whose values fail relatively often in unification with other values and there are features whose values do not fail so often. For example, in Japanese sentence analysis, unification of features for conjugation forms, case markers, and semantic selectional restrictions tends to fail but unification of features for semantic representations does not fail. In such cases, application of the EF F strategy, that is, treating features tending to fall in unification first, reduces unnecessary computation when the unification finally fails | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


