Citance Number: 1 | Reference Article:  E03-1020.txt | Citing Article:  W11-1104.txt | Citation Marker Offset:  ['12'] | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">Current approaches have used clustering (Dorow and Widdows, 2003; Klapaftis and Manandhar, 2008) or statistical graph models (Klapaftis and Manandhar, 2010) to identify sense-specific subgraphs.</S> | Reference Offset:  ['37'] | Reference Text:  <S sid ="37" ssid = "10">To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen (2000).</S> | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 2 | Reference Article:  E03-1020.xml | Citing Article:  S13-2038.xml | Citation Marker Offset:  ['18'] | Citation Marker:  2003 | Citation Offset:  ['18','19'] | Citation Text:  <S sid ="18" ssid = "2">Dorow and Widdows (2003) use the BNC to build a cooccurrencegraph for nouns, based on a co-occurrence frequency threshold.</S><S sid ="19" ssid = "3">They perform Markov clustering on this graph.</S> | Reference Offset:  ['20','37'] | Reference Text:  <S sid ="20" ssid = "3">Following the method in (Widdows and Dorow, 2002), we build a graph in which each node represents a noun and two nodes have an edge between them if they co-occur in lists more than a given number of times 1.</S><S sid ="37" ssid = "10">To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen (2000).</S> | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 3 | Reference Article:  E03-1020.xml | Citing Article:  W08-2207.xml | Citation Marker Offset:  ['37'] | Citation Marker:  DorowandWiddows,2003 | Citation Offset:  ['37'] | Citation Text:  <S sid ="37" ssid = "4">highly accurateTopicSignaturesfor all monosemous wordsin WordNet(forinstance,usingInfoMap(DorowandWiddows,2003)).</S> | Reference Offset:  ['84'] | Reference Text:  <S sid ="84" ssid = "7">We then determined the WordNet synsets which most adequately characterized the sense clusters.</S> | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 4 | Reference Article:  E03-1020.xml | Citing Article:  P04-1080.xml | Citation Marker Offset:  ['191'] | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  ['191'] | Citation Text:  <S sid ="191" ssid = "1">there are other related efforts on word sense discrimination (Dorow and Widdows, 2003; Fukumoto and Suzuki, 1999; Pedersen and Bruce, 1997).</S> | Reference Offset:  ['6'] | Reference Text:  <S sid ="6" ssid = "6">This paper describes an algorithm which automatically discovers word senses from free text and maps them to the appropriate entries of existing dictionaries or taxonomies.</S> | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


