Citance Number: 1 | Reference Article:  H89-2014.txt | Citing Article:  W93-0111-parscit-section.txt |  Citation Marker Offset:  29544-29556 | Citation Marker:  Kupiec, 1989 | Citation Offset:  29438-29556 | Citation Marker:  This approach is similar in spirit to the iterative computational approaches of the Hidden Markov Models (Kupiec, 1989 ... ) | Reference Offset:  ['4016-4079'] | Reference Text:  The work described here also makes use of a hidden Markov model | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 2 | Reference Article:  H89-2014.txt | Citing Article:  A92-1018-parscit-section.txt | Citation Marker Offset:  6271-6284 | Citation Marker:  Kupiec, 1989a | Citation Offset:  6267-6426 | Citation Text:  In [Kupiec, 1989a], networks are used to selectively augment the context in a basic first-order model, rather than using uniformly second-order dependencies | Reference Offset:  ['17414-17662'] | Reference Text:  A model containing all of the refinements described, was tested using a magazine article containing 146 sentences (3,822 words). A 30,000 word dictionary was used, supplemented by inflectional analysis for words not found directly in the dictionary | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  H89-2014.txt | Citing Article:  A92-1018-parscit-section.txt | Citation Marker Offset:  19300-19313 | Citation Marker:  Kupiec, 1989a | Citation Offset:  19201-19314 | Citation Text:  adequate training requires processing from tens of thousands to hundreds of thousands of tokens [Kupiec, 1989a] | Reference Offset:  ['12949-13268'] | Reference Text:  An alternative to uniformly increasing the order of the conditioning is to extend it selectively. Mixed higher-order context can be modeled by introducing explicit state sequences. In the arrangement the basic first-order network remains, permitting all possible category sequences, and modeling first-order dependency | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 4 | Reference Article:  H89-2014.txt | Citing Article:  J93-2006-parscit-section.txt | Citation Marker Offset:  6334-6345 | Citation Marker:  Kupiec 1989 | Citation Offset:  6260-6308 | Citation Text:  The effectiveness of such models is well known ( ... Kupiec 1989 ... ) | Reference Offset:  ['634-776'] | Reference Text:  The paper describes refinements that are currently being investigated in a model for part-of-speech assignment to words in unrestricted text | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 5 | Reference Article:  H89-2014.txt | Citing Article:  H91-1046-parscit-section.txt | Citation Marker Offset:  9600-9612 | Citation Marker:  Kupiec, 1989 | Citation Offset:  9520-9613 | Citation Text:  The vocabulary entry may be a word or an equivalence class based on categories (Kupiec, 1989) | Reference Offset:  ['4210-4226', '4418-4435', '4458-4600'] | Reference Text:  word equivalence ... classes were used ... it is assumed that the distribution of the use of a word depends on the set of categories it can assume, and words are partitioned accordingly | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


