Citance Number: 1 | Reference Article:  P98-1081.txt | Citing Article:  W01-0712.txt | Citation Marker Offset:  17292-17296 | Citation Marker:  1998 | Citation Offset:  17217-17297 | Citation Text:  Nine combination methods were originally suggested by Van Halteren et al. (1998) | Reference Offset:  ['107'] | Reference Text:  Table 2: Accuracy of individual taggers and combination methods | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 2 | Reference Article:  P98-1081.txt | Citing Article:  W01-0712.txt | Citation Marker Offset:  17966-17991 | Citation Marker:  van Halteren et al., 1998 | Citation Offset:  17843-17992 | Citation Text:  TAGPAIR uses classification pair weights based on the probability of a classification for some predicted classification pair (van Halteren et al., 1998) | Reference Offset:  ['17328-17533'] | Reference Text:  A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 3 | Reference Article:  P98-1081.txt | Citing Article:  W01-0712.txt | Citation Marker Offset:  18252-18256 | Citation Marker:  1998 | Citation Offset:  18226-18297 | Citation Text:  Like Van Halteren et al. (1998), we evaluated two features combinations | Reference Offset:  ['11892-11967', '12999-13057'] | Reference Text:  we first examine the results of the individual taggers when applied to Tune ... we are measuring quality in relation to a specific tagging | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 4 | Reference Article:  P98-1081.txt | Citing Article:  W02-1004.txt | Citation Marker Offset:  23491-23516 | Citation Marker:  van Halteren et al., 1998 | Citation Offset:  23341-23785 | Citation Text:  An alternative method for estimating the parameters is to approximate them with the performance of the th classifier (a performance-based combiner) (van Halteren et al., 1998; ... therefore giving more weight to classifiers that have a smaller classification error (the method will be referred to as PB) | Reference Offset:  ['141461-14874'] | Reference Text:  However, it appears more useful to give more weight to taggers which have proved their quality. This can be general quality, e.g. each tagger votes its overall precision (TotPrecision), or quality in relation to the current situation, e.g. each tagger votes its precision on the suggested tag (Tag-Precision). The information about each tagger's quality is derived from an inspection of its results on Tune | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 5 | Reference Article:  P98-1081.txt | Citing Article:  W02-1004.txt | Citation Marker Offset:  26097-26222 | Citation Marker:  1998 | Citation Offset:  26050-26075 | Citation Text:  In the experiments presented in van Halteren et al. (1998), this method was the best performer among the presented methods | Reference Offset:  ['18640-18749'] | Reference Text:  When used on Test, the pairwise voting strategy (TagPair) clearly outperforms the other voting strategies | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 6 | Reference Article:  P98-1081.txt | Citing Article:  W02-1004.txt | Citation Marker Offset:  25959-26222 | Citation Marker:  van Halteren et al., 1998 | Citation Offset:  25959-26222 | Citation Text:  A very common technique for combination in such a case is by voting(...van Halteren et al., 1998...). In the simplest model, each classifier votes for its classification and the sense that receives the most number of votes wins... | Reference Offset:  ['14158-14331'] | Reference Text:  The most straightforward selection method is an n-way vote. Each tagger is allowed to vote for the tag of its choice and the tag with the highest number of votes is selected | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


