Citance Number: 1 | Reference Article:  E03-1020.txt | Citing Article:  W11-1104.txt | Citation Marker Offset:  2182-2217 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  2021-2063 | Citation Text:  Current approaches have used clustering  ... to identify sense-specic subgraphs | Reference Offset:  ['5817-5967'] | Reference Text:  To detect the different areas of meaning in our local graphs, we use a cluster algorithm for graphs (Markov clustering, MCL) developed by van Dongen | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 2 | Reference Article:  E03-1020.txt | Citing Article:  S13-2038.txt | Citation Marker Offset:  3333-3359 | Citation Marker:  2003 | Citation Offset:  3360-3460 | Citation Text:  Dorow and Widdows use the BNC to build a co-occurrence graph for nouns, based on a co-occurrence frequency threshold | Reference Offset:  ['3450-3605'] | Reference Text:  we build a graph in which each node represents a noun and two nodes have an edge between them if they co-occur in lists more than a given number of times | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 3 | Reference Article:  E03-1020.txt | Citing Article:  W08-2207.txt | Citation Marker Offset:  11250-11273 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  11141-11219 | Citation Text:  highly accurate Topic Signatures for all monosemous words in WordNet (for instance, using InfoMap (Dorow and Widdows, 2003)) | Reference Offset:  ['12561-12654'] | Reference Text:  We then determined the WordNet synsets which most adequately characterized the sense clusters | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 4 | Reference Article:  E03-1020.txt | Citing Article:  P04-1080.txt | Citation Marker Offset:  31783-31806 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  31721-31781 | Citation Text:  there are other related efforts on word sense discrimination (Dorow and Widdows, 2003) | Reference Offset:  ['1495-1667'] | Reference Text:  This paper describes an algorithm which automatically discovers word senses from free text and maps them to the appropriate entries of existing dictionaries or taxonomies | Discourse Facet:  Aim_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 5 | Reference Article:  E03-1020.txt | Citing Article:  P04-1080.txt | Citation Marker Offset:  34089-34302 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  34046-34063 | Citation Text:  The algorithm in  (Dorow and Widdows, 2003) represented target noun word, its neighbors and their relationships using a graph in which each node denoted a noun and two nodes had an edge between them if they co-occurred with more than a given number of times | Reference Offset:  ['3450-3605'] | Reference Text:  we build a graph in which each node represents a noun and two nodes have an edge between them if they co-occur in lists more than a given number of times | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


Citance Number: 6 | Reference Article:  E03-1020.txt | Citing Article:  D10-1073.txt | Citation Marker Offset:  7170-7271 | Citation Marker:  Dorow and Widdows, 2003 | Citation Offset:  7101-7143 | Citation Text:  Another graph-based method is presented in (Dorow and Widdows, 2003).  They extract only noun neighbours that appear in conjunctions or disjunctions with the target word | Reference Offset:  ['3450-3605'] | Reference Text:  we build a graph in which each node represents a noun and two nodes have an edge between them if they co-occur in lists more than a given number of times | Discourse Facet:  Method_Citation | Annotator:  Ankur Khanna, NUS |


