Citance Number: 1 | Reference Article:  X96-1048.txt | Citing Article:  A97-1028.txt | Citation Marker Offset:  [] | Citation Marker:  Sundheim ... 1995b | Citation Offset:  [] | Citation Text:  Named Entity evaluation began as a part of recent Message Understanding Conferences (MUC), whose objective was to standardize the evaluation of IE tasks (Sundheim, 1995b). | Reference Offset:  ['357'] | Reference Text:  In addition, there are plans to put evaluations on line, with public access, starting with the NE evaluation; this is intended to make the NE task familiar to new sites and to give them a convenient and low-pressure way to try their hand at following a standardized test procedure | Discourse Facet:  Implication_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 2 | Reference Article:  X96-1048.txt | Citing Article:  E12-2021.txt | Citation Marker Offset:  [] | Citation Marker:  Sundheim ... 1996 | Citation Offset:  [] | Citation Text:  These base annotations can be connected by binary relations  either directed or undirected  which can be congured for e.g. simple relation extraction, or verb frame annotation (Figure 1 middle and bottom). n-ary associations of annotations are also supported, allowing the annotation of event structures such as those targeted in the MUC (Sundheim, 1996), | Reference Offset:  ['15'] | Reference Text:  Scenario Template (ST) -- Drawing evidence from anywhere in the text, extract prespecified event information, and relate the event information to the particular organization and person entities involved in the event. | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 3 | Reference Article:  X96-1048.txt | Citing Article:  J00-4003.txt | Citation Marker Offset:  [] | Citation Marker:  Sundheim 1995 | Citation Offset:  [] | Citation Text:  This so-called named entity recognition task has received considerable attention recently ... and was one of the tasks evaluated in the Sixth and Seventh Message Understanding Conferences. In MUC-6, 15 different systems participated in the competition (Sundheim 1995) | Reference Offset:  ['4'] | Reference Text:  The Named Entity and Coreference tasks entailed Standard Generalized Markup Language (SGML) annotation of texts and were being conducted for the first time. | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 4 | Reference Article:  X96-1048.txt | Citing Article:  J00-4003.txt | Citation Marker Offset:  [] | Citation Marker:  Sundheim 1995 | Citation Offset:  [] | Citation Text:  As a result, quantitative evaluation is n o w commonplace in areas of language engineering such as parsing, and quantitative evaluation techniques are being proposed for semantic ... interpretation as well, for example, at the Sixth and Seventh Message Understanding Conferences (MUC-6 and MUC-7) (Sundheim 1995; Chinchor 1997), which also included evaluations of systems on the so-called coreference task, a subtask of which is the resolution of definite descriptions. | Reference Offset:  ['4', '113'] | Reference Text:  The Named Entity and Coreference tasks entailed Standard Generalized Markup Language (SGML) annotation of texts and were being conducted for the first time. ... In the middle of the spectrum are definite descriptions and pronouns whose choice of referent is constrained by such factors as structural relations and discourse focus | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


