Citance Number: 1 | Reference Article:  A88-1019.txt | Citing Article:  H89-2012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We have found that if we first tag every word in the corpus with a part of speech using a method such as Church (1988) or DeRose (1988), and then measure associations between tagged words, we can identify interesting contrasts between verbs associated with a following preposition to~in and verbs associated with a following infinitive marker to~to.</S> | Reference Offset:  ['24','69'] | Reference Text:  <S sid = 24 ssid = >Consider the following three examples where pronunciation depends on part of speech.</S><S sid = 69 ssid = >For example, Fidditch has the following lexical disambiguation rule: which says that a preposition is more likely than a noun before a noun phrase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A88-1019.txt | Citing Article:  D12-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This work is to be distinguished from supervised part-of-speech disambiguation systems, which use labeled training data (Church, 1988), unsupervised disambiguation systems, which use a dictionary of possible tags for each word (Merialdo, 1994), or prototype driven systems which use a small set of prototypes for each class (Haghighi and Klein, 2006).</S> | Reference Offset:  ['111','112'] | Reference Text:  <S sid = 111 ssid = >Recall that precedence parsing makes use of a table that says whether to insert an open or close bracket between any two categories (terminal or nonterminal).</S><S sid = 112 ssid = >The proposed method makes use of a table that givvs the probabilities of an open and close bracket between all pairs of parts of speech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A88-1019.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Much of this work offers the prospect that a disambiguation system might be able to input unrestricted text and tag each word with the most likely sense with fairly reasonable accuracy and efficiency, just as part of speech taggers (e.g., Church (1988)) can now input unrestricted text and assign each word with the most likely part of speech with fairly reasonable accuracy and efficiency.</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >A Stochastic Parts Program And Noun Phrase Parser For Unrestricted Text</S><S sid = 20 ssid = >A program has been written which tags each word in an input sentence with the most likely part of speech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A88-1019.txt | Citing Article:  W01-0712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first work on this topic was done back in the eighties (Church, 1988).</S> | Reference Offset:  ['46','83'] | Reference Text:  <S sid = 46 ssid = >The present work developed independently from the LOB project.</S><S sid = 83 ssid = >Unfortunately, this is unlikely to work.</S> | Discourse Facet:  NA | Annotator: Automatic


