Citance Number: 1 | Reference Article:  A97-1014.txt | Citing Article:  E99-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This type of model is used to facilitate the syntactic annotation of the NEGRA corpus of German newspaper texts (Skut et al, 1997).</S> | Reference Offset:  ['22','168'] | Reference Text:  <S sid = 22 ssid = >(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = 168 ssid = >We will closely coordinate the further development of our corpus with the annotation work in Verbmobil and with other German efforts in corpus annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  A97-1014.txt | Citing Article:  E99-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our experiments, we use the NEGRA corpus (Skut et al, 1997).</S> | Reference Offset:  ['22','33'] | Reference Text:  <S sid = 22 ssid = >(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = 33 ssid = >(Lehmann et al., 1996), (Marcus et al., 1994), (Sampson, 1995)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  A97-1014.txt | Citing Article:  E12-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As data we use version 2 of the Negra (Skut et al1997) tree bank, with the common training.</S> | Reference Offset:  ['99','140'] | Reference Text:  <S sid = 99 ssid = >Because of the intended theory-independence of the scheme, we annotate only the common minimum.</S><S sid = 140 ssid = >For the implementation, we used Tcl/Tk Version 4.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  A97-1014.txt | Citing Article:  C04-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['174','175'] | Reference Text:  <S sid = 174 ssid = >We also wish to thank Robert MacIntyre and Ann Taylor for valuable discussions on the Penn Treebank annotation.</S><S sid = 175 ssid = >Special thanks go t,o Oliver Plaehn, who implemented the annotation tool, and to our fearless annotators Roland Hendriks, Kerstin Klockner, Thomas Schulz, and Bernd-Paul Simon.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  A97-1014.txt | Citing Article:  I05-6010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >According to Skut et al (1997) tree banks have to meet the following requirements: 1.</S> | Reference Offset:  ['22','33'] | Reference Text:  <S sid = 22 ssid = >(Marcus et. al., 1994), (Sampson, 1995), (Black et. al.</S><S sid = 33 ssid = >(Lehmann et al., 1996), (Marcus et al., 1994), (Sampson, 1995)).</S> | Discourse Facet:  NA | Annotator: Automatic


