Citance Number: 1 | Reference Article:  C02-1145.txt | Citing Article:  W02-1815.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example,</S><S sid = NA ssid = NA>These tools are then used for preprocessing in the development of the CTB-II.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C02-1145.txt | Citing Article:  P11-2126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example,</S><S sid = NA ssid = NA>These tools are then used for preprocessing in the development of the CTB-II.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C02-1145.txt | Citing Article:  W06-0123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is also binary feature and all the punctuations in the punctuation character list come from Penn Chinese Tree bank 5.1 (N.Xue et al,2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S><S sid = NA ssid = NA>The preliminary results of this phase of the project have been reported in Xia et al (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C02-1145.txt | Citing Article:  W06-0123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>At last, all the punctuations in Penn Chinese Treebank 5.1 (N.Xue et al,2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Chinese Treebank (CTB) is an ongoing project, with its objective being to create a segmented Chinese corpus annotated with POS tags and syntactic brackets.</S><S sid = NA ssid = NA>In this paper, we will address three issues in the development of the Chinese Treebank: annotation speed, annotation accuracy and usability of the corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C02-1145.txt | Citing Article:  D07-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>reported accuracies of 93% and 93.74% on CTB-I (Xue et al, 2002) (100K words) and CTB 5.0 (500K words), respectively, each using a Maximum Entropy approach.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The availability of CTB-I changed our approach to CTB-II considerably.</S><S sid = NA ssid = NA>The preliminary results of this phase of the project have been reported in Xia et al (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


