Citance Number: 1 | Reference Article:  C04-1073.txt | Citing Article:  P05-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xia and McCord, 2004) describe an approach for translation from French to English, where reordering rules are acquired automatically.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1073.txt | Citing Article:  P05-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our method differs from that of (Xia and McCord, 2004) in a couple of important respects.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1073.txt | Citing Article:  W10-1762.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Xia and McCord (2004) extracted reordering rules automatically from bilingual corpora for English-to-French translation; Collins et al (2005) used linguistically-motivated clause restructuring rules for German-to-English translation; Li et al (2007) modeled reordering on parse tree nodes by using a maximum entropy model with surface and syntactic features for Chinese-to-English translation; Katz-Brown and Collins (2008) applied a very simple reverse ordering to Japanese-to-English translation, which reversed the word order in Japanese segments separated by a few simple cues; Xu et al (2009) utilized a dependency parser with several hand-labeled precedence rules for re ordering English to subject-object-verb order like Korean and Japanese.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1073.txt | Citing Article:  W11-2102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While our framework can be applied to any translation system in which it is possible to derive a token-level alignment from the input source tokens to the output target tokens, it is of particular practical interest when applied to a system that performs reordering as a preprocessing step (Xia and McCord, 2004).</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C04-1073.txt | Citing Article:  W11-2102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Xia and McCord, 2004), and perform these two operations in separate steps, the latter conditioned on the former, Birch et al (2010) a remaking a much stronger assumption when they perform these simulations: they are assuming that lexical choice and word order are entirely independent.</S> | Reference Offset:  ['0'] | Reference Text:  <S sid = 0 ssid = >Improving A Statistical MT System With Automatically Learned Rewrite Patterns</S> | Discourse Facet:  NA | Annotator: Automatic


