Citance Number: 1 | Reference Article:  C04-1100.txt | Citing Article:  P05-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >and (2) the relation between predicates, question stem and the words that determine the answer type (Narayanan and Harabagiu, 2004).</S> | Reference Offset:  ['31','36'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 36 ssid = >bilogical agents] Possible paths of action Predicate?argument structure PREDICATE: = detect Arg0 (detector) : Answer (1) Arg1 (detected): biological weapons program Arg2 (instrument) ; Answer (2) 2) development ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C04-1100.txt | Citing Article:  P14-2104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ever since Gildea and Jurafsky (2002), SRL has become an important technology used in applications requiring semantic interpretation, ranging from information extraction (Frank et al, 2007) and question answering (Narayanan and Harabagiu, 2004), to practical problems including textual entailment (Burchardt et al, 2007) and pictorial communication systems (Goldberg et al, 2008).</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C04-1100.txt | Citing Article:  P10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, the well-defined semantic role labeling (SRL) task has been drawing increasing attention in recent years due to its importance in natural language processing (NLP) applications, such as question answering (Narayanan and Harabagiu, 2004), information extraction (Surdeanu et al, 2003), and co-reference resolution (Kong et al, 2009).</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C04-1100.txt | Citing Article:  W06-0704.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Systems for addressing complex information needs are interesting because they provide an opportunity to explore the role of semantic structures in question answering ,e.g., (Narayanan and Harabagiu, 2004).</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  C04-1100.txt | Citing Article:  H05-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, information extraction (Surdeanu et al, 2003), question answering (Narayanan and Harabagiu, 2004) and machine translation (Boas, 2002) could stand to benefit from broad coverage semantic processing.</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


