Citance Number: 1 | Reference Article:  C92-2082.txt | Citing Article:  W99-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hearst (1992) found individual pairs of hypernyms and hyponyms from text using pattern-matching techniques.</S> | Reference Offset:  ['30','157'] | Reference Text:  <S sid = 30 ssid = >The general feeling is that the struc- ture and function of MRDs makes their interpretation amenable to pattern-recognition techniques.</S><S sid = 157 ssid = >Out of these, 152 relations fit tile re- strictions of the experiment, namely that both the hyponyms and the hypernyms are unmodified (with the exceptions mentioned above).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C92-2082.txt | Citing Article:  W99-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The hypernyms used to label the internal nodes of that hierarchy are chosen in a simple fashion; pattern-matching as in Hearst (1992) is used to identify candidate hypernyms of the words dominated by a particular node, and a simple voting scheme selects the hypernyms to be used.</S> | Reference Offset:  ['93','170'] | Reference Text:  <S sid = 93 ssid = >The patterns fotu~.d for this relation do not tend to uniquely identify it, but can be used to express other relations as well.</S><S sid = 170 ssid = >There are a few relations whose hypernyms are very high-level terms, e.g., "substance" aud "form".</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C92-2082.txt | Citing Article:  P14-2086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >the lexico-syntactic patterns by Hearst (1992) and an extension of the patterns by dependency paths (Snow et al, 2004).</S> | Reference Offset:  ['56','113'] | Reference Text:  <S sid = 56 ssid = >In the next section we outline a way to discover these lexico-syntactic patterns as well as illustrate those we have found.</S><S sid = 113 ssid = >2 WordNet (Miller et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C92-2082.txt | Citing Article:  P14-2086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Regarding pattern-based approaches to identify and distinguish lexical semantic relations in more general terms, Hearst (1992) was the first to propose lexico-syntactic patterns as empirical pointers towards relation instances, focusing on hyponymy.</S> | Reference Offset:  ['2','59'] | Reference Text:  <S sid = 2 ssid = >We identify a set of lexico-syntactic patterns that are easily rec- ognizable, that occur iYequently and across text genre boundaries, and that indisputably indicate the lexical relation of interest.</S><S sid = 59 ssid = >2 Lexico-Syntactic Patterns for Hyponymy Since only a subset of the possible instances of the hyponymy relation will appear in a particular form, we need to make use of as many patterns as possi- ble.</S> | Discourse Facet:  NA | Annotator: Automatic


