Citance Number: 1 | Reference Article:  C96-1005.txt | Citing Article:  P97-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['78','252'] | Reference Text:  <S sid = 78 ssid = >text words nouns nouns monosemous in WN br-a01 2079 564 464 149 (32%) br-ab20 2153 453 377 128 (34%) br-.i09 2495 620 586 205 (34%) br-r05 2407 457 431 120 (27%) total 9134 2094 1858 602 (32%) Table 1 : data for each text An average of 11% of all nouns in these four texts were not found in WordNet.</S><S sid = 252 ssid = >Nantes, France.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C96-1005.txt | Citing Article:  P97-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['78','252'] | Reference Text:  <S sid = 78 ssid = >text words nouns nouns monosemous in WN br-a01 2079 564 464 149 (32%) br-ab20 2153 453 377 128 (34%) br-.i09 2495 620 586 205 (34%) br-r05 2407 457 431 120 (27%) total 9134 2094 1858 602 (32%) Table 1 : data for each text An average of 11% of all nouns in these four texts were not found in WordNet.</S><S sid = 252 ssid = >Nantes, France.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C96-1005.txt | Citing Article:  S10-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['78','252'] | Reference Text:  <S sid = 78 ssid = >text words nouns nouns monosemous in WN br-a01 2079 564 464 149 (32%) br-ab20 2153 453 377 128 (34%) br-.i09 2495 620 586 205 (34%) br-r05 2407 457 431 120 (27%) total 9134 2094 1858 602 (32%) Table 1 : data for each text An average of 11% of all nouns in these four texts were not found in WordNet.</S><S sid = 252 ssid = >Nantes, France.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C96-1005.txt | Citing Article:  W97-0813.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['78','252'] | Reference Text:  <S sid = 78 ssid = >text words nouns nouns monosemous in WN br-a01 2079 564 464 149 (32%) br-ab20 2153 453 377 128 (34%) br-.i09 2495 620 586 205 (34%) br-r05 2407 457 431 120 (27%) total 9134 2094 1858 602 (32%) Table 1 : data for each text An average of 11% of all nouns in these four texts were not found in WordNet.</S><S sid = 252 ssid = >Nantes, France.</S> | Discourse Facet:  NA | Annotator: Automatic


