Citance Number: 1 | Reference Article:  C96-1079.txt | Citing Article:  C02-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the case of English, partially motivated by Message Understanding Conferences (MUCs) (Grishman and Sundheim, 1996), a number of coreference resolution methods have been proposed.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >Message Understanding Conference-6: A Brief History</S><S sid = 3 ssid = >Although called "conferences", the distinguishing characteristic of the MUCs are not the conferences themselves, but the evaluations to which participants must submit in order to be permitted to attend the conference.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  C96-1079.txt | Citing Article:  W12-3202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A condition of attending the MUC workshops was participation in a required evaluation (bakeoff) task of filling slots in templates about events, and began (after an exploratory MUC-1 in 1987) with MUC-2 in 1989, followed by MUC-3 (1991), MUC-4 (1992), MUC-5 (1993) and MUC 6 (1995) (Grishman and Sundheim, 1996).</S> | Reference Offset:  ['10','11'] | Reference Text:  <S sid = 10 ssid = >MUC-1 (1987) was basically exploratory; each group designed its own format for recording the information in the document, and there was no formal evaluation.</S><S sid = 11 ssid = >By MUC-2 (1989), the task had crystalized as one of template filling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  C96-1079.txt | Citing Article:  P10-1123.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Discourse references have been the subject of attention in both the Message Understanding Conference (Grishman and Sundheim, 1996) and the Automatic Content Extraction program (Strassel et al., 2008).</S> | Reference Offset:  ['0','9'] | Reference Text:  <S sid = 0 ssid = >Message Understanding Conference-6: A Brief History</S><S sid = 9 ssid = >The MUCs are notable, how- ever, in that they in large part have shaped the research program in information extraction and brought it to its current state}</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  C96-1079.txt | Citing Article:  W06-3607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There have been a very large number of NE tagger implementations since this task was introduced at MUC-6 (Grishman and Sundheim, 1996).</S> | Reference Offset:  ['8','22'] | Reference Text:  <S sid = 8 ssid = >DARPA has a number of information science and technol- ogy programs which are driven in large part, by regular evaluations.</S><S sid = 22 ssid = >The joint venture task re- quired 11 templates with a total of 47 slots for the output double tile number of slots defined for MUC-4 and the task documentation was over 40 pages long.</S> | Discourse Facet:  NA | Annotator: Automatic


