Citance Number: 1 | Reference Article:  D07-1002.txt | Citing Article:  P08-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Shen and Lapata, 2007) has shown that shallow semantic information in the form of predicate argument structures (PASs) improves the automatic detection of correct answers to a target question.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>They use ASSERT (Pradhan et al, 2004), a publicly available shallow semantic parser trained on PropBank, to generate predicate-argument structures which subsequently form the basis of comparison between question and answer sentences.</S><S sid = NA ssid = NA>Their system identifies predicate argument structures by merging semanticrole information from PropBank and FrameNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D07-1002.txt | Citing Article:  D08-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Shen and Lapata (2007) show the potential improvement that FrameNet can bring on the performance of a Question Answering (QA) system.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Question answering systems have traditionally de pended on a variety of lexical resources to bridge surface differences between questions and potential answers.</S><S sid = NA ssid = NA>Using Semantic Roles to Improve Question Answering</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D07-1002.txt | Citing Article:  E09-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The alignment of answers to question types as a semantic role labelling task using similar methods was explored by Shen and Lapata (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Answer types are determined using classi fication rules similar to Li and Roth (2002).</S><S sid = NA ssid = NA>Using Semantic Roles to Improve Question Answering</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D07-1002.txt | Citing Article:  W09-2417.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The state-of-the-art in semantic role labelling has now advanced so much that a number of studies have shown that automatically inferred semantic argument structures can lead to tangible performance gains in NLP applications such as information extraction (Surdeanu et al, 2003), question answering (Shen and Lapata, 2007) or recognising textual entailment (Burchardt and Frank, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Semantic structures for questions and sentences are automatically derived using the model described in Section 4 (Model I).</S><S sid = NA ssid = NA>Their system identifies predicate argument structures by merging semanticrole information from PropBank and FrameNet.</S> | Discourse Facet:  NA | Annotator: Automatic


