Citance Number: 1 | Reference Article:  D08-1027.txt | Citing Article:  P09-2078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work has shown that data collected through the Mechanical Turk service is reliable and comparable in quality with trusted sources (Snow et al, 2008).</S> | Reference Offset:  ['11','47'] | Reference Text:  <S sid = 11 ssid = >In this work we explore the use of Amazon Mechanical Turk1 (AMT) to determine whether nonexpert labelers can provide reliable natural language annotations.</S><S sid = 47 ssid = >We have published the full experimental design and the data we have collected for each task online3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  D08-1027.txt | Citing Article:  N10-1044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous studies using this on line task marketplace have shown that the collective judgments of many workers are comparable to those of trained annotators on labeling tasks (Snow et al, 2008) although these judgments can be obtained at a fraction of the cost and effort.</S> | Reference Offset:  ['7','113'] | Reference Text:  <S sid = 7 ssid = >We conclude that many large labeling tasks can be effectively designed and carried out in this method at a fraction of the usual expense.</S><S sid = 113 ssid = >More workers can be used, as described in previous sections.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  D08-1027.txt | Citing Article:  W10-0724.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Snow et al (2008) compared the quality of labels produced by non-expert Turkers against those made by experts for a variety of NLP tasks and found that they required only four responses per item to emulate expert annotations.</S> | Reference Offset:  ['161','162'] | Reference Text:  <S sid = 161 ssid = >Our evaluation of non-expert labeler data vs. expert annotations for five tasks found that for many tasks only a small number of nonexpert annotations per item are necessary to equal the performance of an expert annotator.</S><S sid = 162 ssid = >In a detailed study of expert and non-expert agreement for an affect recognition task we find that we require an average of 4 non-expert labels per item in order to emulate expert-level label quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  D08-1027.txt | Citing Article:  N10-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Human judgments for the triples were collected through the Amazon Mechanical Turk (AMT) crowd sourcing platform (Snow et al, 2008).</S> | Reference Offset:  ['34','35'] | Reference Text:  <S sid = 34 ssid = >In this section we describe Amazon Mechanical Turk and the general design of our experiments.</S><S sid = 35 ssid = >We employ the Amazon Mechanical Turk system in order to elicit annotations from non-expert labelers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  D08-1027.txt | Citing Article:  W10-3504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['61','165'] | Reference Text:  <S sid = 61 ssid = >We compute these ITA scores for each emotion task separately, averaging the six emotion tasks as “Avg.</S><S sid = 165 ssid = >This work was supported in part by the Disruptive Technology Office (DTO)’s Advanced Question Answering for Intelligence (AQUAINT) Phase III Program.</S> | Discourse Facet:  NA | Annotator: Automatic


