Citance Number: 1 | Reference Article:  E06-1031.txt | Citing Article:  W06-3112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Others try to accommodate both syntactic and lexical differences between the candidate translation and the reference, like CDER (Leusch et al, 2006), which employs a version of edit distance for word substitution and reordering; METEOR (Banerjee and Lavie, 2005), which uses stemming and WordNet synonymy; and a linear regression model developed by (Russo-Lassner et al., 2005), which makes use of stemming, Word Net synonymy, verb class synonymy, matching noun phrase heads, and proper name matching.</S> | Reference Offset:  ['71','170'] | Reference Text:  <S sid = 71 ssid = >An implementation of both approaches at the same time can be found in TER by (Snover et al., 2005).</S><S sid = 170 ssid = >Details on this have been described in (Leusch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E06-1031.txt | Citing Article:  P14-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['52','209'] | Reference Text:  <S sid = 52 ssid = >The costs of a long jump are constant.</S><S sid = 209 ssid = >HR001106-C-0023, and was partly funded by the European Union under the integrated project TC-STAR – Technology and Corpora for Speech to Speech Translation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E06-1031.txt | Citing Article:  W07-0734.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Meteor, as well as several other proposed metrics such as GTM (Melamed et al, 2003), TER (Snover et al, 2006) and CDER (Leusch et al, 2006) aim to address some of these weaknesses.</S> | Reference Offset:  ['71','170'] | Reference Text:  <S sid = 71 ssid = >An implementation of both approaches at the same time can be found in TER by (Snover et al., 2005).</S><S sid = 170 ssid = >Details on this have been described in (Leusch et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E06-1031.txt | Citing Article:  W07-0707.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CDER measure (Leusch et al, 2006) is based on edit distance, such as the well-known WER, but allows reordering of blocks.</S> | Reference Offset:  ['16','45'] | Reference Text:  <S sid = 16 ssid = >It is based on edit distance – such as the well-known word error rate (WER) – but allows for reordering of blocks.</S><S sid = 45 ssid = >WER, which is based on Levenshtein distance, penalizes the reordering of blocks even more heavily.</S> | Discourse Facet:  NA | Annotator: Automatic


