Citance Number: 1 | Reference Article:  E06-1043.txt | Citing Article:  W06-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some of them are Frequency, Point-wise mutual information (Church and Hanks, 1989), Distributed frequency of object (Tapanainen et al, 1998), Distributed frequency of object using verb information (Venkatapathy and Joshi, 2005), Similarity of object in verb object pair using the LSA model (Baldwin et al, 2003), (Venkatapathy and Joshi, 2005) and Lexical and Syntactic fixedness (Fazly and Stevenson, 2006).</S> | Reference Offset:  ['63','173'] | Reference Text:  <S sid = 63 ssid = >We calculate the association strength for the target pair, and for each of its variants, , using pointwise mutual information (PMI) (Church et al., 1991): where and is the target noun; is the set of all transitive verbs in the corpus; is the set of all nouns appearing as the direct object of some verb; is the frequency of and occurring as a verb–object pair; is the total frequency of the target verb with any noun in ; is the total frequency of the noun in the direct object position of any verb in .</S><S sid = 173 ssid = >Most previous work on compositionality of MWEs either treat them as collocations (Smadja, 1993), or examine the distributional similarity between the expression and its constituents (McCarthy et al., 2003; Baldwin et al., 2003; Bannard et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E06-1043.txt | Citing Article:  D11-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another work uses both the syntactic and the lexical fixedness of VNICs in order to distinguish them from non-idiomatic ones, and eventually to extract them from corpora (Fazly and Stevenson, 2006).</S> | Reference Offset:  ['179','185'] | Reference Text:  <S sid = 179 ssid = >We demonstrate that these measures can be successfully applied to the task of automatically distinguishing idiomatic combinations from non-idiomatic ones.</S><S sid = 185 ssid = >Our ongoing work focuses on combining these measures to distinguish VNICs from other idiosyncratic verb+noun combinations that are neither purely idiomatic nor completely literal, so that we can identify linguistically plausible classes of verb+noun combinations on this continuum (Fazly and Stevenson, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E06-1043.txt | Citing Article:  W07-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To measure fixedness, we use statistical measures of lexical, syntactic, and overall fixedness that we have developed in a previous study (Fazly and Stevenson, 2006), as well as some new measures we introduce here.</S> | Reference Offset:  ['90','178'] | Reference Text:  <S sid = 90 ssid = >We thus propose a new measure of idiomaticity to be a measure of the overall fixedness of a given pair.</S><S sid = 178 ssid = >More specifically, we propose statistical measures that quantify the degree of lexical, syntactic, and overall fixedness of such combinations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E06-1043.txt | Citing Article:  W07-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The small amount of previous work on the identification of syntactic fixedness (Wermter and Hahn (2004), Fazly and Stevenson (2006)) has either focused on a single variation variety, or has only been evaluated for combinations of a small preselected list of words, presumably due to noise.</S> | Reference Offset:  ['140','174'] | Reference Text:  <S sid = 140 ssid = >Table 4 presents the performance of the hybrid measure, , repeating that of and for comparison. outperforms both lexical and syntactic fixedness measures, with a substantial improvement over , and a small, but notable, improvement over .</S><S sid = 174 ssid = >Lin (1999) and Wermter and Hahn (2005) go one step further and look into a linguistic property of non-compositional compounds—their lexical fixedness—to identify them.</S> | Discourse Facet:  NA | Annotator: Automatic

