Citance Number: 1 | Reference Article:  E99-1001.txt | Citing Article:  C02-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The importance of dictionaries in NERs has been investigated in the literature (Mikheev et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E99-1001.txt | Citing Article:  W04-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Steve Finch and Irina Nazarova as well as Colin Matheson and other members of the Language Technology Group for help in building various tools and other resources that were used in the development of the muc system.</S><S sid = NA ssid = NA>The precision of the system was not calculated but can be assumed to be quite high because it would only be affected by cases where a capitalized word occurs in more than one list (e.g.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E99-1001.txt | Citing Article:  W03-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has been shown in (Mikheev et al, 1999) that a NE Recognition system performs reasonably well for most classes even without gazetteers.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E99-1001.txt | Citing Article:  W04-1218.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is common practice in NER to utilize the discourse level to disambiguate items in non predictive contexts (see e.g. Mikheev et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>Nevertheless, in a recent article Cucchiarelli et al. (1998) report that one of the bottlenecks in designing NE recognition systems is the limited availability of large gazetteers, particularly gazetteers for different languages (Cucchiarelli et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E99-1001.txt | Citing Article:  P06-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mikheev et al (1999) exploit label consistency information within a document using relatively ad hoc multi-stage labeling procedures.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further details on this can be found in (Mikheev et al., 1998).</S><S sid = NA ssid = NA>One such application is document retrieval or automated document forwarding: documents annoted with NE information can be searched more Now also at Harlequin Ltd. (Edinburgh office) accurately than raw text.</S> | Discourse Facet:  NA | Annotator: Automatic


