Citance Number: 1 | Reference Article:  E99-1010.txt | Citing Article:  P01-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The word classes are computed automatically using another statistical training procedure (Och, 1999) which often produces word classes including words with the same semantic meaning in the same class.</S> | Reference Offset:  ['38','72'] | Reference Text:  <S sid = 38 ssid = >We assume that every word fj is produced by the word ea, at position a3 in the training corpus with the probability P(filea,): The word alignment ail is trained automatically using statistical translation models as described in (Brown et al., 1993; Vogel et al., 1996).</S><S sid = 72 ssid = >The alignment templates are automatically trained using a parallel training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  E99-1010.txt | Citing Article:  P12-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the publicly available implementation MK CLS3 (Och, 1999) to train this model.</S> | Reference Offset:  ['68','76'] | Reference Text:  <S sid = 68 ssid = >The statistical machine-translation method described in (Och and Weber, 1998) makes use of bilingual word classes.</S><S sid = 76 ssid = >More details are given in (Och and Weber, 1998; Och and Ney, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  E99-1010.txt | Citing Article:  W10-3812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Word alignment was estimated with GIZA++ tool (Och, 2003), coupled with mk cls3 (Och, 1999), which allows for statistical word clustering for better generalization.</S> | Reference Offset:  ['68','76'] | Reference Text:  <S sid = 68 ssid = >The statistical machine-translation method described in (Och and Weber, 1998) makes use of bilingual word classes.</S><S sid = 76 ssid = >More details are given in (Och and Weber, 1998; Och and Ney, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  E99-1010.txt | Citing Article:  N07-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is the shared task baseline system for the 2006 NAACL/HLT workshop on statistical machine translation (Koehn and Monz, 2006) and consists of the Pharaoh decoder (Koehn, 2004), SRILM (Stolcke, 2002), GIZA++ (Och and Ney, 2003), mkcls (Och, 1999), Carmel,1 and a phrase model training code.</S> | Reference Offset:  ['68','76'] | Reference Text:  <S sid = 68 ssid = >The statistical machine-translation method described in (Och and Weber, 1998) makes use of bilingual word classes.</S><S sid = 76 ssid = >More details are given in (Och and Weber, 1998; Och and Ney, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  E99-1010.txt | Citing Article:  W06-3108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The word classes for the class-based features are trained using the mkcls tool (Och, 1999).</S> | Reference Offset:  ['35','72'] | Reference Text:  <S sid = 35 ssid = >For the first we use the class-based bigram probability from Eq.</S><S sid = 72 ssid = >The alignment templates are automatically trained using a parallel training corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


