Citance Number: 1 | Reference Article:  H05-1066.txt | Citing Article:  D12-1091.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use three base models for dependency parsing: MST parser (McDonald et al 2005), Maltparser (Nivre et al 2006), and the ensemble parser of Surdeanu and Manning (2010).</S> | Reference Offset:  ['191','195'] | Reference Text:  <S sid = 191 ssid = >parser of Collins et al (1999).</S><S sid = 195 ssid = >McD2005: The projective parser of McDonald et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H05-1066.txt | Citing Article:  P14-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','233'] | Reference Text:  <S sid = 73 ssid = >7.</S><S sid = 233 ssid = >This work has been supported by NSF ITR grants 0205448 and 0428193.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H05-1066.txt | Citing Article:  P14-1126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','233'] | Reference Text:  <S sid = 73 ssid = >7.</S><S sid = 233 ssid = >This work has been supported by NSF ITR grants 0205448 and 0428193.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H05-1066.txt | Citing Article:  D12-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','233'] | Reference Text:  <S sid = 73 ssid = >7.</S><S sid = 233 ssid = >This work has been supported by NSF ITR grants 0205448 and 0428193.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  H05-1066.txt | Citing Article:  P14-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A detailed description of the Chu Liu Edmonds algorithm for MSTs is available in McDonald et al (2005).</S> | Reference Offset:  ['87','118'] | Reference Text:  <S sid = 87 ssid = >We will use here the Chu-Liu-Edmonds algorithm (Chu and Liu, 1965;Edmonds, 1967), sketched in Figure 3 follow ing Leonidas (2003).</S><S sid = 118 ssid = >The Eisner algorithm differs significantly from the Chu-Liu-Edmonds algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  H05-1066.txt | Citing Article:  W12-4205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We test these two techniques on English-Czech MT outputs using our own reimplementation of the MST parser (McDonald et al, 2005) named RUR1 parser.</S> | Reference Offset:  ['191','195'] | Reference Text:  <S sid = 191 ssid = >parser of Collins et al (1999).</S><S sid = 195 ssid = >McD2005: The projective parser of McDonald et al.</S> | Discourse Facet:  NA | Annotator: Automatic


