Citance Number: 1 | Reference Article:  H93-1061.txt | Citing Article:  W00-1326.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is due, in part, to the availability of public hand-tagged material, e.g. SemCor (Miller et al, 1993) and the DSO collection (Ng & Lee, 1996).</S> | Reference Offset:  ['14','15'] | Reference Text:  <S sid = 14 ssid = >The result can be viewed either as a collection of passages in which words have been tagged syntactically and semanti- eally, or as a lexicon in which illustrative sentences can be found for many definitions.</S><S sid = 15 ssid = >At the present time, the correla- tion of a lexical meaning with examples in which a word is used to express that meaning must be done by hand.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H93-1061.txt | Citing Article:  P14-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Typically, word frequency distributions are estimated with respect to a sense-tagged corpus such as SemCor (Miller et al, 1993), a 220,000 word corpus tagged with WordNet (Fellbaum, 1998) senses.</S> | Reference Offset:  ['54','68'] | Reference Text:  <S sid = 54 ssid = >The targeted approach starts with the lexicon: target a polysemous word, extract all sentences from the corpus in which that word occurs, categorize the instances and write definitions for each sense, and create a pointer between each instance of the word and its appropriate sense in the lexicon; then target another word and repeat he process.</S><S sid = 68 ssid = >text, along with the WordNet synsets for all of the senses of that word (in the appropriate part of speech).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H93-1061.txt | Citing Article:  W07-2090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We base our experiments on SemCor (Miller et al, 1993), a balanced, semantically annotated dataset, with all content words manually tagged by trained lexicographers.</S> | Reference Offset:  ['113','132'] | Reference Text:  <S sid = 113 ssid = >QUERYING THE TAGGED TEXT A program to query the semantically tagged database has also been written: p rsent  (print sentences) allows a user to retrieve sentences by entering the base form of a word and its semantic tag.</S><S sid = 132 ssid = >306 Implementation f this program requires the creation of a "master list" of semantically tagged words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H93-1061.txt | Citing Article:  D09-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The sentences that we use from the GWS dataset were originally extracted from the English SENSEVAL-3 lexical sample task (Mihalcea et al, 2004) (hereafter SE-3) and SemCor (Miller et al, 1993).</S> | Reference Offset:  ['115','187'] | Reference Text:  <S sid = 115 ssid = >This program is useful to the lexicographers, who are intimately familiar with WordNet semantic tags and who use it to find sample sentences.</S><S sid = 187 ssid = >Miller, G. A. and Fellbaum, C. Semantic networks of English.</S> | Discourse Facet:  NA | Annotator: Automatic


