Citance Number: 1 | Reference Article:  H94-1020.txt | Citing Article:  W95-0107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this study, training and test sets marked with two different types of chunk structure were derived algorithmically from the parsed data in the Penn Treebank corpus of Wall Street Journal text (Marcus et al, 1994).</S> | Reference Offset:  ['6','150'] | Reference Text:  <S sid = 6 ssid = >Also included is a skeletally parsed version of the Brown corpus, the classic million word balanced corpus of American English [5, 6].</S><S sid = 150 ssid = >Building a large annotated corpus of English: the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  H94-1020.txt | Citing Article:  P14-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The label sets for German have been adopted from (Beuck and Menzel, 2013), while the sets for English have been obtained by manually analyzing the PTB (Marcus et al, 1994) for predictability.</S> | Reference Offset:  ['50','141'] | Reference Text:  <S sid = 50 ssid = >ARGUMENT-ADJUNCT STRUCTURE In a well developed predicate-argument scheme, it would seem desirable to label each argument of a predicate with an appropriate semantic label to identify its role with respect o that predicate.</S><S sid = 141 ssid = >The computational nalysis of English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  H94-1020.txt | Citing Article:  W06-1637.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Switchboard (Marcus et al, 1994) corpus contains transcriptions of spoken, spontaneous conversation annotated with phrase-structure trees.</S> | Reference Offset:  ['127','150'] | Reference Text:  <S sid = 127 ssid = >Automatically acquiring phrase structure using distributional analysis.</S><S sid = 150 ssid = >Building a large annotated corpus of English: the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  H94-1020.txt | Citing Article:  P04-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Few hand-crafted, deep unification grammars have in fact achieved the coverage and robustness required to parse a corpus of say the size and complexity of the Penn treebank: (Riezler et al., 2002) show how a deep, carefully hand-crafted LFG is successfully scaled to parse the Penn-II treebank (Marcus et al, 1994) with discriminative (log linear) parameter estimation techniques.</S> | Reference Offset:  ['7','17'] | Reference Text:  <S sid = 7 ssid = >hand-retagged using the Penn Treebank tagset.</S><S sid = 17 ssid = >Hand-in-hand with this limi- tation of the existing Penn Treebank for parser testing is a parallel imitation for automatic methods for parser training for parsers based on deeper epresentations.</S> | Discourse Facet:  NA | Annotator: Automatic


