Citance Number: 1 | Reference Article:  J01-3001.txt | Citing Article:  W02-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Wilks (2001) presented a classifier combination framework where disambiguation methods (simulated annealing, subject codes and selectional restrictions) were combined using the TiMBL memory-based approach (Daelemans et al, 1999).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The algorithm we chose was the TiMBL memory-based learning algorithm (Daelemans et al. 1999).</S><S sid = NA ssid = NA>We can see that the partial taggers that are most effective are those based on the simulated annealing algorithm and Yarowsky's subject code approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J01-3001.txt | Citing Article:  C04-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Wilks (2001) propose a somewhat related technique to handle WSD, based on integrating LDOCE classes with simulated annealing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We can see that the partial taggers that are most effective are those based on the simulated annealing algorithm and Yarowsky's subject code approach.</S><S sid = NA ssid = NA>Others, such as Harley and Glennon (1997) and ourselves Wilks and Stevenson (1998a, 1998b; Stevenson and Wilks 1999), have concentrated on approaches that disambiguate all content words.'</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J01-3001.txt | Citing Article:  W02-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Stevenson and Wilks (2001) investigated the interaction of knowledge sources, such as part-of-speech, dictionary definition, subject codes, etc. on WSD.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Stevenson and Wilks Interaction of Knowledge Sources in WSD Partial disambiguation (by part of speech): If there is more than one possible homograph with the correct part of speech but some have been removed from consideration, that word has been partially disambiguated by part of speech.</S><S sid = NA ssid = NA>The Interaction Of Knowledge Sources In Word Sense Disambiguation</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J01-3001.txt | Citing Article:  P06-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, they are quite rare, even in monolingual contexts (Stevenson and Wilks, 2001, e.g.), and they are not able to integrate and use knowledge coming from corpus and other resources during the learning process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Others, such as Harley and Glennon (1997) and ourselves Wilks and Stevenson (1998a, 1998b; Stevenson and Wilks 1999), have concentrated on approaches that disambiguate all content words.'</S><S sid = NA ssid = NA>To facilitate the merging of these three resources to produce SENSUS, Knight and Luk were required to derive a mapping between the senses in the two lexical resources.</S> | Discourse Facet:  NA | Annotator: Automatic


