Citance Number: 1 | Reference Article:  J93-3003.txt | Citing Article:  P97-1013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Empirical studies on the disambiguation of cue phrases (Hirschberg and Litman, 1993) have shown that just by considering the orthographic environment in which a discourse marker occurs, one can distinguish between sentential and discourse usages in about 80% of cases.</S> | Reference Offset:  ['0','116'] | Reference Text:  <S sid = 0 ssid = >Empirical Studies On The Disambiguation Of Cue Phrases</S><S sid = 116 ssid = >Our model is based on several empirical studies (Hirschberg and Litman 1987; Litman and Hirschberg 1990): two studies of individual cue phrases in which we develop our model, and a more comprehensive study of cue phrases as a class, in which we confirm and expand our model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J93-3003.txt | Citing Article:  P14-2113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We extract the initial unigram, bigram, and trigram of each utterance as discourse features (Hirschberg and Litman, 1993).</S> | Reference Offset:  ['88','400'] | Reference Text:  <S sid = 88 ssid = >Schiffrin (1987) also assumes that discourse uses of cue phrases are utterance initial.</S><S sid = 400 ssid = >Our findings for our single-speaker multi-cue phrase study support the intonational model of discourse/sentential characteristics of cue phrases that we proposed based on our earlier multispeaker single-cue phrase studies of now and well (Hirschberg and Litman 1987; Litman and Hirschberg 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J93-3003.txt | Citing Article:  W01-1623.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the literature, there is still no consistent definition for discourse markers (Hirschberg and Litman 1993).</S> | Reference Offset:  ['19','400'] | Reference Text:  <S sid = 19 ssid = >Cue phrases, words and phrases that directly signal the structure of a discourse, have been variously termed clue words, discourse markers, discourse connectives, and discourse particles in the computational linguistic and conversational analysis literature.</S><S sid = 400 ssid = >Our findings for our single-speaker multi-cue phrase study support the intonational model of discourse/sentential characteristics of cue phrases that we proposed based on our earlier multispeaker single-cue phrase studies of now and well (Hirschberg and Litman 1987; Litman and Hirschberg 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J93-3003.txt | Citing Article:  W00-0402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is due to the fact that, similar to the question of cue phrase polysemy (Hirschberg and Litman 1993), many Chinese discourse markers have both discourse senses and alternate sentential senses in different utterances.</S> | Reference Offset:  ['24','25'] | Reference Text:  <S sid = 24 ssid = >In particular, the question of cue phrase polysemy has yet to receive a satisfactory solution.</S><S sid = 25 ssid = >Each lexical item that has one or more discourse senses also has one or more alternate, sentential senses, which make a semantic contribution to the interpretation of an utterance.</S> | Discourse Facet:  NA | Annotator: Automatic


