Citance Number: 1 | Reference Article:  J94-2001.txt | Citing Article:  A94-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Work similar to that described here has been carried out by Merialdo (1994), with broadly similar conclusions.</S> | Reference Offset:  ['29','115'] | Reference Text:  <S sid = 29 ssid = >The reasons for this preference are presumably that: However, in our experiments, we will show that Viterbi and ML tagging result in very similar performance.</S><S sid = 115 ssid = >We tried two different constraints: The tw-constrained ML training is similar to the standard ML training, except that the probabilities p(t/w) are not changed at the end of an iteration.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J94-2001.txt | Citing Article:  A94-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar results are presented by Merialdo (1994), who describes experiments to compare the effect of training from a hand-tagged corpora and using the Baum-Welch algorithm with various initial conditions.</S> | Reference Offset:  ['5','126'] | Reference Text:  <S sid = 5 ssid = >Experiments show that the best training is obtained by using as much tagged text as possible.</S><S sid = 126 ssid = >Conclusion The results presented in this paper show that estimating the parameters of the model by counting relative frequencies over a very large amount of hand-tagged text lead to the best tagging accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J94-2001.txt | Citing Article:  P10-2039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We adopt the problem formulation of Merialdo (1994), in which we are given a dictionary of possible tags for each word type.</S> | Reference Offset:  ['37','73'] | Reference Text:  <S sid = 37 ssid = >However, if we have a dictionary that specifies the list of possible tags for each word, we can use this information to constrain the model: if t is not a valid tag for the word w, then we are sure that There are thus at most as many nonzero values for the k probabilities as there are possible pairs (word, tag) allowed in the dictionary.</S><S sid = 73 ssid = >In some sense, this is an optimal dictionary for this data, since a word will not have all its possible tags (in the language), but only the tags that it actually had within the text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J94-2001.txt | Citing Article:  D10-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Research into unsupervised part-of-speech tagging with a tag dictionary (sometimes called weakly supervised POS tagging) has been going on for many years Merialdo (1994).</S> | Reference Offset:  ['1','14'] | Reference Text:  <S sid = 1 ssid = >In this paper we present some experiments on the use of a probabilistic model to tag English text, i.e. to assign to each word the correct tag (part of speech) in the context of the sentence.</S><S sid = 14 ssid = >A lot of effort has been devoted in the past to the problem of tagging text, i.e. assigning to each word the correct tag (part of speech) in the context of the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


