Citance Number: 1 | Reference Article:  J94-2003.txt | Citing Article:  P96-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hence, the most important single construct of the centering model is the ordering of the list of forward-looking centers (Walker et al, 1994).</S> | Reference Offset:  ['135','295'] | Reference Text:  <S sid = 135 ssid = >Every element of the forward centers list, Cf(Ui), must be realized in Ui.</S><S sid = 295 ssid = >In the centering model, the ordering of the forward centers is an approximation f discourse salience.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J94-2003.txt | Citing Article:  D08-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['180','528'] | Reference Text:  <S sid = 180 ssid = >RETAIN corresponds to a situation where the speaker is intending to SHIFT onto a new entity in the next utterance and is signalling this by realizing the current center in a lower ranked position on the Cf (examples follow below).</S><S sid = 528 ssid = >23 This shows that Taroo has not been instantiated as the Cb</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J94-2003.txt | Citing Article:  C96-2147.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['180','528'] | Reference Text:  <S sid = 180 ssid = >RETAIN corresponds to a situation where the speaker is intending to SHIFT onto a new entity in the next utterance and is signalling this by realizing the current center in a lower ranked position on the Cf (examples follow below).</S><S sid = 528 ssid = >23 This shows that Taroo has not been instantiated as the Cb</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J94-2003.txt | Citing Article:  W99-0102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, I will review and assess the recent centering approach to the interpretation of Japanese zero pronouns (Walker et al 1994) as a case study.</S> | Reference Offset:  ['333','519'] | Reference Text:  <S sid = 333 ssid = >206 Marilyn Walker et al.</S><S sid = 519 ssid = >214 Marilyn Walker et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  J94-2003.txt | Citing Article:  P98-2204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['180','528'] | Reference Text:  <S sid = 180 ssid = >RETAIN corresponds to a situation where the speaker is intending to SHIFT onto a new entity in the next utterance and is signalling this by realizing the current center in a lower ranked position on the Cf (examples follow below).</S><S sid = 528 ssid = >23 This shows that Taroo has not been instantiated as the Cb</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J94-2003.txt | Citing Article:  P98-2204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The BFP-algorithm (c.f. Walker et al (1994)) consists of three basic steps: 1 GENERATE possible Cb-Cf combinations. 2 FILTER by constraints, e.g., contra-indexing, sortal predicates, centering rules and constraints. 3 RANK by transition orderings.</S> | Reference Offset:  ['252','254'] | Reference Text:  <S sid = 252 ssid = >GENERATE possible Cb-Cf combinations FILTER by constraints, e.g.</S><S sid = 254 ssid = >sortal predicates, centering rules and constraints RANK by transition orderings In order to apply this algorithm to Japanese, possible Cb-Cf combinations (GEN- ERATE step 1) must be constructed from the surface string and information from the subcategorization frame of the verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J94-2003.txt | Citing Article:  W03-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Walker et al (1994) proposed forward center ranking for Japanese.</S> | Reference Offset:  ['199','383'] | Reference Text:  <S sid = 199 ssid = >200 Marilyn Walker et al.</S><S sid = 383 ssid = >208 Marilyn Walker et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J94-2003.txt | Citing Article:  W03-1024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['180','528'] | Reference Text:  <S sid = 180 ssid = >RETAIN corresponds to a situation where the speaker is intending to SHIFT onto a new entity in the next utterance and is signalling this by realizing the current center in a lower ranked position on the Cf (examples follow below).</S><S sid = 528 ssid = >23 This shows that Taroo has not been instantiated as the Cb</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J94-2003.txt | Citing Article:  W99-0205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['180','528'] | Reference Text:  <S sid = 180 ssid = >RETAIN corresponds to a situation where the speaker is intending to SHIFT onto a new entity in the next utterance and is signalling this by realizing the current center in a lower ranked position on the Cf (examples follow below).</S><S sid = 528 ssid = >23 This shows that Taroo has not been instantiated as the Cb</S> | Discourse Facet:  NA | Annotator: Automatic


