Citance Number: 1 | Reference Article:  J98-4004.txt | Citing Article:  P14-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Structural contexts like those captured by parent annotation (Johnson, 1998) are more subtle.</S> | Reference Offset:  ['123','212'] | Reference Text:  <S sid = 123 ssid = >The value of 1.4 can diverge from f, just like the other estimates.</S><S sid = 212 ssid = >In order to better understand just why the parent annotation transform performs so much better than the other transforms, transformation/detransformation experiments were performed in which the parent annotation transform was performed selectively either on all nodes with a given category label, or all nodes with a given category label and parent category label.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  J98-4004.txt | Citing Article:  W02-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Grandparent annotation was used previously by Charniak and Carroll (1994) and Johnson (1998).</S> | Reference Offset:  ['35','66'] | Reference Text:  <S sid = 35 ssid = >The theory of PCFGs is described elsewhere (e.g., Charniak [1993]), so it is only summarized here.</S><S sid = 66 ssid = >Charniak and Carroll (1994) describe this transformation as adding &quot;pseudo context-sensitivity&quot; to the language model because the distribution of expansions of a node depends on nonlocal context, viz,, the category of its parent.3 This nonlocal information is sufficient to distinguish the upper and lower NPs in the structures considered here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  J98-4004.txt | Citing Article:  P04-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Johnson (1998) for a presentation of the transform/de transform paradigm in parsing.</S> | Reference Offset:  ['188','190'] | Reference Text:  <S sid = 188 ssid = >The labeled precision and recall scores for the Flatten and Parent transforms differed significantly from each other and also from the Id transform at the 0.01 level, while neither the NP-VP nor the N'-V' transform differed significantly from each other or the Id transform at the 0.1 level.</S><S sid = 190 ssid = >The rows labeled NP attachments and VP attachments provide the number of times the following tree schema, which As expected, the PCFGs induced from the output of the Flatten transform and Parent transform significantly improve precision and recall over the original treebank PCFG (i.e., the PCFG induced from the output of the Id transform).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  J98-4004.txt | Citing Article:  P12-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First, it captures both P and its parent P, which predicts the distribution over child symbols far better than just P (Johnson, 1998).</S> | Reference Offset:  ['149','212'] | Reference Text:  <S sid = 149 ssid = >Only subtrees consisting of a parent node labeled NP whose first child is also labeled NP are affected by this transformation.</S><S sid = 212 ssid = >In order to better understand just why the parent annotation transform performs so much better than the other transforms, transformation/detransformation experiments were performed in which the parent annotation transform was performed selectively either on all nodes with a given category label, or all nodes with a given category label and parent category label.</S> | Discourse Facet:  NA | Annotator: Automatic


