Citance Number: 1 | Reference Article:  N03-1030.txt | Citing Article:  W04-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >SEE allowed the judges to step through predefined units of the model summary (elementary discourse units/EDUs) (Soricut and Marcu, 2003) and for each unit of that summary, mark the sentences in the peer summary that expressed [all (4), most (3), some (2), hardly any (1) or none (0)] of the content in the current model summary unit.</S> | Reference Offset:  ['45','46'] | Reference Text:  <S sid = 45 ssid = >In this section, we present a discourse segmentation algorithm that deals with segmenting sentences into elementary discourse units.</S><S sid = 46 ssid = >The discourse segmenter proposed here takes as input a sentence and outputs its elementary discourse unit boundaries.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N03-1030.txt | Citing Article:  P14-2085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Texts were segmented into clauses using SPADE (Soricut and Marcu, 2003) with some heuristic post-processing.</S> | Reference Offset:  ['42','94'] | Reference Text:  <S sid = 42 ssid = >In the present work, elementary discourse units are taken to be clauses or clauselike units that are unequivocally the NUCLEUS or SATELLITE of a rhetorical relation that holds between two adjacent spans of text (see (Carlson et al., 2003) for details).</S><S sid = 94 ssid = >This mapping leads to the notion of a dominance set over a discourse segmented lexicalized syntactic tree.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N03-1030.txt | Citing Article:  N07-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our model was trained and tested on RST-DT (2002) and achieves a performance of up to 86.12% F-Score, which is comparable to Soricut and Marcu (2003).</S> | Reference Offset:  ['36','184'] | Reference Text:  <S sid = 36 ssid = >The (RST-DT, 2002) corpus uses 110 different rhetorical relations.</S><S sid = 184 ssid = >This is even more remarkable given that the discourse corpus (RST-DT, 2002) was built with no syntactic theory in mind.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N03-1030.txt | Citing Article:  W10-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most of the current work on discourse processing focuses on sentence-level text organization (Soricut and Marcu, 2003).</S> | Reference Offset:  ['0','190'] | Reference Text:  <S sid = 0 ssid = >Sentence Level Discourse Parsing Using Syntactic And Lexical Information</S><S sid = 190 ssid = >Another interesting finding is that the performance of current state-of-the-art syntactic parsers (Charniak, 2000) is not a bottleneck for coming up with a good solution to the sentence-level discourse parsing problem.</S> | Discourse Facet:  NA | Annotator: Automatic


