Citance Number: 1 | Reference Article:  N04-1001.txt | Citing Article:  P04-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Details of the mention detection and coreference system can be found in (Florian et al, 2004).</S> | Reference Offset:  ['9','22'] | Reference Text:  <S sid = 9 ssid = >The Entity Detection and Tracking task (EDT henceforth) has close ties to the named entity recognition (NER) and coreference resolution tasks, which have been the focus of attention of much investigation in the recent past (Bikel et al., 1997; Borthwick et al., 1998; Mikheev et al., 1999; Miller et al., 1998; Aberdeen et al., 1995; Ng and Cardie, 2002; Soon et al., 2001), and have been at the center of several evaluations: MUC-6, MUC-7, CoNLL’02 and CoNLL’03 shared tasks.</S><S sid = 22 ssid = >(Zhang et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1001.txt | Citing Article:  P14-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, Florian et al (2006) used some gazetteers and the output of other Information Extraction (IE) models as additional features, which provided significant gains ((Florian et al, 2004)).</S> | Reference Offset:  ['22','61'] | Reference Text:  <S sid = 22 ssid = >(Zhang et al., 2002).</S><S sid = 61 ssid = >Hence, we used the output of these pre-existing taggers and used them as additional feature streams for the mention detection models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1001.txt | Citing Article:  P08-2037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use an information extraction toolkit (Florian et al, 2004) to analyze each event argument.</S> | Reference Offset:  ['22','35'] | Reference Text:  <S sid = 22 ssid = >(Zhang et al., 2002).</S><S sid = 35 ssid = >Good performance in many natural language processing tasks, such as part-of-speech tagging, shallow parsing and named entity recognition, has been shown to depend heavily on integrating many sources of information (Zhang et al., 2002; Jing et al., 2003; Ittycheriah et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1001.txt | Citing Article:  W06-1615.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the case when some in-domain labeled training data is available, we show how to use SCL together with the classifier combination techniques of Florian et al (2004) to achieve even greater performance.</S> | Reference Offset:  ['37','116'] | Reference Text:  <S sid = 37 ssid = >We selected two methods which satisfy these criteria: a linear classifier – the Robust Risk Minimization classifier – and a log-linear classifier – the Maximum Entropy classifier.</S><S sid = 116 ssid = >As it is the case with with mention detection approach presented in Section 2, most features used here are language-independent and are instantiated from the training data, while some are language-specific, but mostly because the resources were not available for the specific language.</S> | Discourse Facet:  NA | Annotator: Automatic


