Citance Number: 1 | Reference Article:  N04-1019.txt | Citing Article:  W04-3254.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It also corresponds to the pyramid measure proposed by Nenkova and Passonneau (2004), which also considers an estimation of the maximum value reachable.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The expected value for the point of divergence of scores, in terms of number of summaries in the pyramid, is 5.5.</S><S sid = NA ssid = NA>First, this corresponds to the difference in PAL scores (D31041) we find when we use a different one of our three PAL annotations (see Table 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-1019.txt | Citing Article:  P14-2041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In evaluations of summarization algorithms, it is common practice to derive the gold standard con tent importance scores from human summaries, as done, for example, in the pyramid method, where the importance of a content element corresponds to the number of reference human summaries that make use of it (Nenkova and Passonneau, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Evaluation involves comparison of a peer summary (baseline, or produced by human or system) by comparing its content to a gold standard, or model.</S><S sid = NA ssid = NA>Our method quantifies the relative importance of facts to be conveyed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-1019.txt | Citing Article:  C08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To evaluate our system, we use the pyramid evaluation method (Nenkova and Passonneau, 2004) at sentence level.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In (Passonneau, 2004), we report our method for computing reliability for coreference annotations, and the use of a distance metric that allows us to weight disagreements.</S><S sid = NA ssid = NA>For the DUC scores there was always a single model, and no attempt to evaluate the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-1019.txt | Citing Article:  C08-1087.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Each fact in the citation summary of a paper is a summarization content unit (SCU) (Nenkova and Passonneau, 2004), and the fact distribution matrix, created by annotation, provides the information about the importance of each fact in the citation summary.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This makes sense in light of the fact that a score is dominated by the higher weight SCUS that appear in a summary.</S><S sid = NA ssid = NA>Our approach acknowledges the fact that no single best model summary exists, and takes this as a foundation rather than an obstacle.</S> | Discourse Facet:  NA | Annotator: Automatic


