Citance Number: 1 | Reference Article:  N04-3012.txt | Citing Article:  P05-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Extensive research concerning the integration of semantic knowledge into NLP for the English language has been arguably fostered by the emergence of WordNet::Similarity package (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We close with a summary of research that has employed WordNet::Similarity.</S><S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N04-3012.txt | Citing Article:  P13-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Work based on WordNet-like lexical networks for building semantic similarity measures such as (Budanitsky and Hirst, 2006) or (Pedersen et al, 2004) falls into this category.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It provides six measures of similarity, and three measures of relatedness, all of which are based on the lexical database WordNet.</S><S sid = NA ssid = NA>Our work with measures of semantic similarity and relatedness began while adapting the Lesk Algorithm for word sense disambiguation to WordNet (Banerjee and Pedersen, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N04-3012.txt | Citing Article:  W11-1717.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For replacement using semantic similarity measures, we used WordNet::Similarity 2.05 package by Pedersen et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S><S sid = NA ssid = NA>This paper continues with an overview of the measures supported in WordNet::Similarity, and then provides a brief description of how the package can be used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N04-3012.txt | Citing Article:  W09-2403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Lesk (overlap) similarity as implemented by the WordNet::similarity package (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet::Similarity is implemented with Perl’s object oriented features.</S><S sid = NA ssid = NA>That evolved in a generalized approach to disambiguation based on semantic relatedness (Patwardhan et al., 2003) that is implemented in the SenseRelate package (http://senserelate.sourceforge.net), which utilizes WordNet::Similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


