Citance Number: 1 | Reference Article:  N06-2013.txt | Citing Article:  P06-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly to Habash and Sadat (2006), the set of schemes we explore are all word-level.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we study the effect of different word-level preprocessing decisions for Arabic on SMT quality.</S><S sid = NA ssid = NA>Since we wish to study the effect of word-level preprocessing, we do not utilize any syntactic information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N06-2013.txt | Citing Article:  P06-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This preprocessing technique we use here is the best performer amongst other explored techniques presented in Habash and Sadat (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We found that the effect of the choice of the preprocessing technique+scheme was amplified.</S><S sid = NA ssid = NA>REGEX is the baseline technique.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N06-2013.txt | Citing Article:  E09-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Morphological segmentation has been shown to benefit Arabic-to-English (Habash and Sadat, 2006) and English-to-Arabic (Badr et al, 2008) translation, although the gains tend to decrease with increasing training data size.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use an Arabic-English parallel corpus of about 5 million words for translation model training data.4 We created the English language model from the English side of the parallel corpus together with 116 million words from the English Gigaword Corpus (LDC2005T12) and 128 million words from the English side of the UN Parallel corpus (LDC2004E13).</S><S sid = NA ssid = NA>We use the phrase-based SMT system, Portage (Sadat et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N06-2013.txt | Citing Article:  E09-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, for Arabic-to-English, Lee (2004), and Habash and Sadat (2006) show that various segmentation schemes lead to improvements that decrease with increasing parallel corpus size.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use an Arabic-English parallel corpus of about 5 million words for translation model training data.4 We created the English language model from the English side of the parallel corpus together with 116 million words from the English Gigaword Corpus (LDC2005T12) and 128 million words from the English side of the UN Parallel corpus (LDC2004E13).</S><S sid = NA ssid = NA>Specifically considering Arabic, Lee (2004) investigated the use of automatic alignment of POS tagged English and affix-stem segmented Arabic to determine appropriate tokenizations.</S> | Discourse Facet:  NA | Annotator: Automatic


