Citance Number: 1 | Reference Article:  N07-1071.txt | Citing Article:  W07-1425.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Though, at least, roles of participants in the event have to be preserved by some means, such as the way presented in (Pantel et al, 2007).</S> | Reference Offset:  ['36','162'] | Reference Text:  <S sid = 36 ssid = >TEASE1 (Szpektor et al. 2004) and DIRT (Lin and Pantel 2001).</S><S sid = 162 ssid = >We presented algorithms for learning what we call inferential selectional preferences, and presented evidence that learning selectional preferences can be useful in filtering out incorrect inferences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N07-1071.txt | Citing Article:  W11-2408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This work was refined by Pantel et al (2007) by assigning the x and y terms semantic types (inferential selectional preferences - ISP) based on lexical abstraction from empirically observed argument types.</S> | Reference Offset:  ['0','161'] | Reference Text:  <S sid = 0 ssid = >ISP: Learning Inferential Selectional Preferences</S><S sid = 161 ssid = >For these cases, ISP algorithms learn many selectional preferences that accept the same types of entities as those that made DIRT learn the inference rule in the first place, hence ISP will not filter out many incorrect inferences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N07-1071.txt | Citing Article:  C10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Most distributional methods so far extract representations from large texts, and only as a follow-on step they either 1) alter these in order to reflect a disambiguated word (such as (Erk and Pado, 2008)) or 2) directly asses the appropriateness of a similarity judgment, given a specific context (such as (Pantel et al, 2007)).</S> | Reference Offset:  ['36','87'] | Reference Text:  <S sid = 36 ssid = >TEASE1 (Szpektor et al. 2004) and DIRT (Lin and Pantel 2001).</S><S sid = 87 ssid = >Our first set of semantic classes was directly extracted from the output of the CBC clustering algorithm (Pantel and Lin 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N07-1071.txt | Citing Article:  C10-2029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Context-sensitive extensions of DIRT (Pantelet al, 2007) and (Basili et al, 2007) focus on making DIRT rules context-sensitive by attaching appropriate semantic classes to the X and Y slots of an inference rule.</S> | Reference Offset:  ['36','80'] | Reference Text:  <S sid = 36 ssid = >TEASE1 (Szpektor et al. 2004) and DIRT (Lin and Pantel 2001).</S><S sid = 80 ssid = >In this paper, we focus on the inference rules contained in the DIRT resource (Lin and Pantel 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


