Citance Number: 1 | Reference Article:  N10-1013.txt | Citing Article:  D10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More recently, Reisinger and Mooney (2010) present a method that uses clustering to produce multiple sense-specific vectors for each word.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This paper presents a method that uses clustering to produce multiple “sense-specific” vectors for each word.</S><S sid = NA ssid = NA>The multi-prototype approach uses word sense discovery to partition a word’s contexts and construct “sense specific” prototypes for each cluster.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N10-1013.txt | Citing Article:  D10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Reisinger and Mooney (2010), we also evaluated mixture models that combine the output of models with varying parameter settings.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Cluster similarity metrics: Besides AvgSim and MaxSim, there are many similarity metrics over mixture models, e.g.</S><S sid = NA ssid = NA>Multi-Prototype Vector-Space Models of Word Meaning</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N10-1013.txt | Citing Article:  D10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is difficult to relate our results to Reisinger and Mooney (2010), due to differences in the training data and the vector representations it gives rise to.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Figure 1 gives an overview of this process.</S><S sid = NA ssid = NA>The results demonstrate the superiority of a clustered approach over both traditional prototype and exemplar-based vector-space models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N10-1013.txt | Citing Article:  D10-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a comparison, a baseline configuration with tf-idf weighting and the cosine similarity measure yields a correlation of 0.38 with our data and 0.49 in Reisinger and Mooney (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>All results reported in this paper use cosine similarity, 1 We compare across two different feature functions tf-idf weighting and X2 weighting, chosen due to their ubiquity in the literature (Agirre et al., 2009; Curran, 2004).</S><S sid = NA ssid = NA>The exemplar approach yields significantly higher correlation than the single prototype approach in all cases except Gigaword with tf-idf features (p < 0.05).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  N10-1013.txt | Citing Article:  P14-2035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, our approach is quite close to the multi prototype models of Reisinger and Mooney (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Multi-Prototype Vector-Space Models of Word Meaning</S><S sid = NA ssid = NA>Also, once again, the performance of the multi-prototype approach is better for homonyms than polysemes.</S> | Discourse Facet:  NA | Annotator: Automatic


