Citance Number: 1 | Reference Article:  N10-1115.txt | Citing Article:  D11-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar methods to Shen et al (2007) have also been used in Shen and Joshi (2008) and Goldberg and Elhadad (2010).</S> | Reference Offset:  ['56','167'] | Reference Text:  <S sid = 56 ssid = >The model is trained using a variant of the structured perceptron (Collins, 2002), similar to the algorithm of (Shen et al., 2007; Shen and Joshi, 2008).</S><S sid = 167 ssid = >Indeed, one major influence on our work is Shen et.al.’s bi-directional POS-tagging algorithm (Shen et al., 2007), which combines a perceptron learning procedure similar to our own with beam search to produce a state-of-the-art POStagger, which does not rely on left-to-right processing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  N10-1115.txt | Citing Article:  P14-2120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To identify explicit predicate-argument relationships we utilized dependency parsing by the Easy-First parser (Goldberg and Elhadad, 2010).</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >An Efficient Algorithm for Easy-First Non-Directional Dependency Parsing</S><S sid = 20 ssid = >We propose a new category of dependency parsing algorithms, inspired by (Shen et al., 2007): nondirectional easy-first parsing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  N10-1115.txt | Citing Article:  P12-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Goldberg and Elhadad (2010) observed that parsing time is dominated by feature extraction and score calculation.</S> | Reference Offset:  ['99','105'] | Reference Text:  <S sid = 99 ssid = >Thus, we observe that the feature extraction and score calculation can be performed once for each action/location pair in a given sentence, and reused throughout all the iterations.</S><S sid = 105 ssid = >In terms of feature extraction and score calculation operations, our algorithm has the same cost as traditional shift-reduce (MALT) parsers, and is an order of magnitude more efficient than graph-based (MST) parsers.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  N10-1115.txt | Citing Article:  P12-3013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >BIUTEE provides state-of-the-art pre-processing utilities: Easy-First parser (Goldberg and Elhadad, 2010), Stanford named-entity-recognizer (Finkel et al, 2005) and ArkRef coreference resolver (Haghighi and Klein, 2009), as well as utilities for sentence splitting and numerical-normalizations.</S> | Reference Offset:  ['84','167'] | Reference Text:  <S sid = 84 ssid = >The unigram and bigram features are adapted from the feature set for left-to-right Arc-Standard dependency parsing described in (Huang et al., 2009).</S><S sid = 167 ssid = >Indeed, one major influence on our work is Shen et.al.’s bi-directional POS-tagging algorithm (Shen et al., 2007), which combines a perceptron learning procedure similar to our own with beam search to produce a state-of-the-art POStagger, which does not rely on left-to-right processing.</S> | Discourse Facet:  NA | Annotator: Automatic


