Citance Number: 1 | Reference Article:  P00-1016.txt | Citing Article:  P01-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Ngai and Yarowsky, 2000) and (Ngai, 2001) provide a thorough description of many experiments involving rule-based systems and statistical learners for NP bracketing.</S> | Reference Offset:  ['33','76'] | Reference Text:  <S sid = 33 ssid = >Engelson & Dagan implemented a committee of learners, and used vote entropy to pick examples which had the highest disagreement among the learners.</S><S sid = 76 ssid = >The rule-writing experiments were conducted by a group of 17 advanced computer science students, using the identical test set as in the annotation experiments and the same initial 100 gold standard sentences for both initial bracketing standards guidance and rule-quality feedback throughout their work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P00-1016.txt | Citing Article:  P13-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ngai and Yarowsky (2000) investigated the effectiveness of rule-writing versus annotation (using active learning) for chunking, and found the latter to be far more effective.</S> | Reference Offset:  ['3','46'] | Reference Text:  <S sid = 3 ssid = >Results show that it is more efficient and more successful by several measures to train a system using active learning annotation rather than hand-crafted rule writing at a comparable level of human labor investment.</S><S sid = 46 ssid = >Because our goal is to investigate the relative costs of rule writing versus annotation, it is essential that we use a realistic model of annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P00-1016.txt | Citing Article:  P10-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another relatively early work in our field along these lines was the work of Ngai and Yarowsky (2000), which measured actual times of annotation to compare the efficacy of rule writing versus annotation with AL for the task of BaseNP chunking.</S> | Reference Offset:  ['0','46'] | Reference Text:  <S sid = 0 ssid = >Rule Writing Or Annotation: Cost-Efficient Resource Usage For Base Noun Phrase Chunking</S><S sid = 46 ssid = >Because our goal is to investigate the relative costs of rule writing versus annotation, it is essential that we use a realistic model of annotation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P00-1016.txt | Citing Article:  D08-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One empirical study (Ngai and Yarowsky, 2000) found that it also required more annotation time than active learning.</S> | Reference Offset:  ['1','13'] | Reference Text:  <S sid = 1 ssid = >This paper presents a comprehensive empirical comparison between two approaches for developing a base noun phrase chunker: human rule writing and active learning using interactive realtime human annotation.</S><S sid = 13 ssid = >This paper will conclude with a comprehensive cost model exposition and analysis, and an empirical study contrasting human rule-writing versus annotation-based learning approaches that are sensitive to these cost models.</S> | Discourse Facet:  NA | Annotator: Automatic


