Citance Number: 1 | Reference Article:  P01-1005.txt | Citing Article:  P02-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, corpus size is no longer a limiting factor: whereas up to now people have typically worked with corpora of around one million words, it has become feasible to build much larger document collections; for example, Banko and Brill (2001) report on experiments with a one billion word corpus.</S> | Reference Offset:  ['8','35'] | Reference Text:  <S sid = 8 ssid = >While the amount of available online text has been increasing at a dramatic rate, the size of training corpora typically used for learning has not.</S><S sid = 35 ssid = >Each learner was trained at several cutoff points in the training corpus, i.e. the first one million words, the first five million words, and so on, until all one billion words were used for training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P01-1005.txt | Citing Article:  P02-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Banko and Brill, (2001) also found this trend for the task of confusion set disambiguation on corpora of up to one billion words.</S> | Reference Offset:  ['3','16'] | Reference Text:  <S sid = 3 ssid = >In this paper, we evaluate the performance of different learning methods on a prototypical natural language disambiguation task, confusion set disambiguation, when trained on orders of magnitude more labeled data than has previously been used.</S><S sid = 16 ssid = >Confusion set disambiguation is the problem of choosing the correct use of a word, given a set of words with which it is commonly confused.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P01-1005.txt | Citing Article:  N10-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Self-training with bagging: The general self training with bagging algorithm (Banko and Brill, 2001) is presented in Table 6 and illustrated in Figure 7 (a).</S> | Reference Offset:  ['18','83'] | Reference Text:  <S sid = 18 ssid = >Numerous methods have been presented for confusable disambiguation.</S><S sid = 83 ssid = >With bagging, a variant of the original training set is constructed by randomly sampling sentences with replacement from the source training set in order to produce N new training sets of size equal to the original.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P01-1005.txt | Citing Article:  N10-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Figure 7 (b) illustrates the algorithm and Figure 8 describes the algorithm, also known as committee based active-learning (Banko and Brill, 2001).</S> | Reference Offset:  ['37','87'] | Reference Text:  <S sid = 37 ssid = >In Figure 1, we show learning curves for each learner, up to one billion words of training data.</S><S sid = 87 ssid = >We present the active learning algorithm we used below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P01-1005.txt | Citing Article:  W02-0814.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >So the creation of more annotated data is necesssary and will certainly cause major improvements of current WSD systems and NLP systems in general (see also (Banko and Brill, 2001)).</S> | Reference Offset:  ['66','116'] | Reference Text:  <S sid = 66 ssid = >Very few problems exist for which annotated data of this size is available for free.</S><S sid = 116 ssid = >We are able to attain improvements in accuracy for free using unsupervised learning, but unlike our learning curve experiments using correctly labeled data, accuracy does not continue to improve with additional data.</S> | Discourse Facet:  NA | Annotator: Automatic


