Citance Number: 1 | Reference Article:  P02-1017.txt | Citing Article:  P04-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A number of studies are related to the work we presented, most specifically work on parallel-text based "information projection" for parsing (Hwa et al., 2002), but also grammar induction work based on constituent/distituent information (Klein and Manning, 2002) and (language-internal) alignment based learning (van Zaanen, 2000).</S> | Reference Offset:  ['7','22'] | Reference Text:  <S sid = 7 ssid = >In previous work, we presented a conditional model over trees which gave the best published results for unsupervised parsing of the ATIS corpus (Klein and Manning, 2001b).</S><S sid = 22 ssid = >To the extent that such approaches work, they work because good local heuristics have been engineered (Klein and Manning, 2001a; Clark, 2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1017.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Empirically, our algorithm performs favorably compared to the constituent context model of Klein and Manning (2002) without the need for careful initialization.</S> | Reference Offset:  ['0','30'] | Reference Text:  <S sid = 0 ssid = >A Generative Constituent-Context Model For Improved Grammar Induction</S><S sid = 30 ssid = >First, random initialization is not always good, or necessary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1017.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We primarily compare our method to the constituent-context model (CCM) of Klein and Manning (2002).</S> | Reference Offset:  ['0','110'] | Reference Text:  <S sid = 0 ssid = >A Generative Constituent-Context Model For Improved Grammar Induction</S><S sid = 110 ssid = >CCM is our system, as described above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1017.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CCM is used with the initializer proposed in Klein and Manning (2002).</S> | Reference Offset:  ['94','110'] | Reference Text:  <S sid = 94 ssid = >This distribution was not used in the model itself, however.</S><S sid = 110 ssid = >CCM is our system, as described above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P02-1017.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The EM algorithm with the CCM requires very careful initialization, which is described in Klein and Manning (2002).</S> | Reference Offset:  ['30','110'] | Reference Text:  <S sid = 30 ssid = >First, random initialization is not always good, or necessary.</S><S sid = 110 ssid = >CCM is our system, as described above.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P02-1017.txt | Citing Article:  P14-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Empirically, our algorithm performs favorably to the CCM of Klein and Manning (2002) without the need for careful initialization.</S> | Reference Offset:  ['30','110'] | Reference Text:  <S sid = 30 ssid = >First, random initialization is not always good, or necessary.</S><S sid = 110 ssid = >CCM is our system, as described above.</S> | Discourse Facet:  NA | Annotator: Automatic


