Citance Number: 1 | Reference Article:  P02-1033.txt | Citing Article:  P03-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The research most similar to ours is the work of Diab and Resnik (2002).</S> | Reference Offset:  ['5','72'] | Reference Text:  <S sid = 5 ssid = >The crux of this research is the observation that translations can serve as a source of sense distinctions (Brown et al., 1991; Dagan, 1991; Dagan and Itai, 1994; Dyvik, 1998; Ide, 2000; Resnik and Yarowsky, 1999).</S><S sid = 72 ssid = >We observed that this is similar to what happens when the French word underlying the target set is homonymous; such cases are part of our discussion in Section 4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P02-1033.txt | Citing Article:  P10-1156.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >TransCont is an enhancement over an existing approach that leverages multilingual evidence through projection, SALAAM, described in detail in (Diab and Resnik, 2002).</S> | Reference Offset:  ['47','86'] | Reference Text:  <S sid = 47 ssid = >A suitably large English corpus is constructed, containing as a subset an English corpus for which we have art existing set of associated gold-standard sense tags.</S><S sid = 86 ssid = >It should be possible to increase variability by extending the corpus to include human-translated parallel text, or by combining evidence from multiple or more distantly related source languages in the spirit of Resnik and Yarowsky (1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P02-1033.txt | Citing Article:  P10-1156.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >TransCont is based on the WSD system SALAAM (Diab and Resnik, 2002), henceforth (DR02).</S> | Reference Offset:  ['53','100'] | Reference Text:  <S sid = 53 ssid = >We used the the English &quot;all words&quot; portion of the SENSEVAL-2 test data (henceforth 5V2AW) as our gold-standard English subset.</S><S sid = 100 ssid = >Performance using this algorithm has been rigorously evaluated and is comparable with other unsupervised WSD systems, based ori fair comparison using community-wide test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P02-1033.txt | Citing Article:  P10-1156.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The parallel data we experiment with are the same standard data sets as in (Diab and Resnik, 2002), namely, Senseval 2 English AW data sets (SV2AW) (Palmer et al, 2001), and Seneval 3 English AW (SV3AW) data set.</S> | Reference Offset:  ['20','53'] | Reference Text:  <S sid = 20 ssid = >The first step of the process assumes a sentence- or segment-aligned parallel corpus; suitable data are now available for many languages via organizations such LDC and ELRA and the Web is a promising source of data in new language pairs and in new genres (Nie et al., 1999; Resnik, 1999a).</S><S sid = 53 ssid = >We used the the English &quot;all words&quot; portion of the SENSEVAL-2 test data (henceforth 5V2AW) as our gold-standard English subset.</S> | Discourse Facet:  NA | Annotator: Automatic


