Citance Number: 1 | Reference Article:  P03-1023.txt | Citing Article:  C04-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(2) Givenananaphor and two antecedents, decide which antecedent is more likely to be the correct one (Yang et al, 2003).</S> | Reference Offset:  ['98','130'] | Reference Text:  <S sid = 98 ssid = >In the MUC-6 data set, for example, the immediate antecedents of 95% pronominal anaphors can be found within the above distance.</S><S sid = 130 ssid = >Without candidate filtering, the recall may rise as the correct antecedents would not be eliminated wrongly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1023.txt | Citing Article:  P07-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Each instance is represented by 33 lexical, grammatical, semantic, and 540 positional features that have been employed by high performing resolvers such as Ng and Cardie (2002) and Yang et al (2003), as described below.</S> | Reference Offset:  ['48','70'] | Reference Text:  <S sid = 48 ssid = >To illustrate this problem, just suppose a data set where an instance could be described with four exclusive features: F1, F2, F3 and F4.</S><S sid = 70 ssid = >Similar to those in the singlecandidate model, the features may describe the lexical, syntactic, semantic and positional relationships of an anaphor and any one of its candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1023.txt | Citing Article:  P11-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','160'] | Reference Text:  <S sid = 79 ssid = >Apparently, the classifier trained on the instance set { inst(ci , ana) }, T1, is equivalent to that trained on { inst(ci , c0, ana) }, T2.</S><S sid = 160 ssid = >These features may be helpful to improve the performance of pronoun resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1023.txt | Citing Article:  D09-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yang et al (2005) made use of nonanaphors to create a special class of training instances in the twin-candidate model (Yang et al 2003) and thus equipped it with the nonanaphoricity determination capability.</S> | Reference Offset:  ['128','138'] | Reference Text:  <S sid = 128 ssid = >Although Connolly et al.’s approach also adopts the twin-candidate model, it achieves a poor performance for both pronoun resolution and nonpronoun resolution.</S><S sid = 138 ssid = >A similar twin-candidate model was adopted in the anaphoric resolution system by Connolly et al. (1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1023.txt | Citing Article:  D09-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >learning method proposed in Yang et al (2003), which explicitly models the competition between two antecedent candidates.</S> | Reference Offset:  ['0','146'] | Reference Text:  <S sid = 0 ssid = >Coreference Resolution Using Competition Learning Approach</S><S sid = 146 ssid = >In this paper we have proposed a competition learning approach to coreference resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


