Citance Number: 1 | Reference Article:  P03-1054.txt | Citing Article:  W04-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We fully parsed the training and testing data using the Stanford Parser of (Klein and Manning, 2003) operating on the TnT part-of-speech tagging.</S> | Reference Offset:  ['180','188'] | Reference Text:  <S sid = 180 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S><S sid = 188 ssid = >The same sentence, parsed using only the baseline and UNARY-INTERNAL, is parsed correctly, because the VP rewrite in the incorrect parse ends with an S&quot;VPU with very low probability.8 Alternately, UNARY-EXTERNAL, marked nodes which had no siblings with &quot;U.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1054.txt | Citing Article:  N09-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >At present, the Stanford Parser (Klein and Manning, 2003) is used.</S> | Reference Offset:  ['69','236'] | Reference Text:  <S sid = 69 ssid = >Nonetheless, some distinctions present in the raw trees were valuable.</S><S sid = 236 ssid = >Nonetheless, some distinctions present in the raw treebank trees were valuable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1054.txt | Citing Article:  C10-2086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['97','285'] | Reference Text:  <S sid = 97 ssid = >We also tried marking nodes which dominated prepositions and/or conjunctions, but these features did not help the cumulative hill-climb.</S><S sid = 285 ssid = >IIS0085896, and in part by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1054.txt | Citing Article:  P09-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Duringthe NER extraction, we also employ phrase analysis based on our phrase utility extraction method using Standford dependency parser ((Klein and Manning, 2003)).</S> | Reference Offset:  ['21','180'] | Reference Text:  <S sid = 21 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S><S sid = 180 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P03-1054.txt | Citing Article:  P12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The manual symbol refinement described in (Klein and Manning, 2003) was applied to an all-fragments grammar and this improved accuracy in the English WSJ parsing task.</S> | Reference Offset:  ['21','180'] | Reference Text:  <S sid = 21 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S><S sid = 180 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S> | Discourse Facet:  NA | Annotator: Automatic


