Citance Number: 1 | Reference Article:  P03-1058.txt | Citing Article:  P06-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To tackle this problem, in one of our recent work (Ng et al, 2003), we had gathered training data from parallel texts and obtained encouraging results in our evaluation on the nouns of SENSEVAL-2 English lexical sample task (Kilgarriff, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated our approach to word sense disambiguation on all the 29 nouns in the English lexical sample task of SENSEVAL-2 (Edmonds and Cotton, 2001; Kilgarriff 2001).</S><S sid = NA ssid = NA>We evaluated our approach on all the nouns in the English lexical sample task of SENSEVAL-2 (Edmonds and Cotton, 2001; Kilgarriff 2001), which used the WordNet 1.7 sense inventory (Miller, 1990).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P03-1058.txt | Citing Article:  P06-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To gather training examples from these parallel texts, we used the approach we described in (Ng et al, 2003) and (Chan and Ng, 2005b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then used our approach of parallel text alignment described in the last section to obtain the training examples from the English side of the parallel texts.</S><S sid = NA ssid = NA>If there are insufficient training examples for some sense of w from the parallel texts, then we just used as many parallel text training examples as we could find for that sense.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P03-1058.txt | Citing Article:  W12-1906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other similar work includes that in (Ng et al, 2003), where a sense-annotated corpus was automatically generated from a parallel corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This annotated corpus then serves as the training material for a learning algorithm.</S><S sid = NA ssid = NA>The research most similar to ours is the work of Diab and Resnik (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P03-1058.txt | Citing Article:  H05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Ng et al (2003) acquired sense examples using English-Chinese parallel corpora, which were manually or automatically aligned at sentence level and then word-aligned using software.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this step, parallel texts are first sentence-aligned and then word-aligned.</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


