Citance Number: 1 | Reference Article:  P04-1061.txt | Citing Article:  W05-1504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work also benefited from an enormous amount of useful feedback, from many audiences and individuals.</S><S sid = NA ssid = NA>We propose a simple head-outward dependency model over word classes which includes a model of valence, which we call DMV (for dependency model with valence).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P04-1061.txt | Citing Article:  P14-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, previous computational models of grammar induction (Klein and Manning, 2004), including infant grammar induction (Kwiatkowski et al, 2012), have not addressed filler-gap comprehension.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Corpus-Based Induction Of Syntactic Structure: Models Of Dependency And Constituency</S><S sid = NA ssid = NA>This dependency induction model is reasonably successful.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P04-1061.txt | Citing Article:  W09-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the field of language acquisition computational linguists such as Klein and Manning (2004) have studied the unsupervised acquisition of syntactic structure, while linguists such as Boersma and Hayes (2001), Gold smith (2001), Pater (2008) and Albright and Hayes (2003) are developing probabilistic models of the acquisition of phonology and/or morphology, and Frank et al (2007) experimentally tests the predictions of a Bayesian model of lexical acquisition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Clark (2001) and Klein and Manning (2002) show that this approach can be successfully used for discovering syntactic constituents as well.</S><S sid = NA ssid = NA>Researchers have explored this problem for a variety of reasons: to argue empirically against the poverty of the stimulus (Clark, 2001), to use induction systems as a first stage in constructing large treebanks (van Zaanen, 2000), to build better language models (Baker, 1979; Chen, 1995), and to examine cognitive issues in language learning (Solan et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P04-1061.txt | Citing Article:  P13-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work also benefited from an enormous amount of useful feedback, from many audiences and individuals.</S><S sid = NA ssid = NA>We propose a simple head-outward dependency model over word classes which includes a model of valence, which we call DMV (for dependency model with valence).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P04-1061.txt | Citing Article:  P13-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the standard generative Dependency Model with Valence (Klein and Manning, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We propose a simple head-outward dependency model over word classes which includes a model of valence, which we call DMV (for dependency model with valence).</S><S sid = NA ssid = NA>present a generative model for the learning of dependency structures.</S> | Discourse Facet:  NA | Annotator: Automatic


