Citance Number: 1 | Reference Article:  P05-1017.txt | Citing Article:  H05-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most recently, (Takamura et al, 2005) reports on the use of spin models to infer the semantic orientation of words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use the spin model to extract semantic orientations of words.</S><S sid = NA ssid = NA>Kobayashi et al. (2001) proposed a method for extracting semantic orientations of words with bootstrapping.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P05-1017.txt | Citing Article:  P14-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Hashimoto et al's method constructs a network of templates based on their co-occurrence in web sentences with a small number of polarity-assigned seed templates and infers the polarity of all the templates in the network by a constraint solver based on the spin model (Takamura et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We call this network the gloss network (G).</S><S sid = NA ssid = NA>We compare the spin model with the shortest-path method proposed by Kamps et al. (2004) on this network, because the shortestpath method cannot incorporate negative links of antonyms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P05-1017.txt | Citing Article:  D10-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Semantic Orientation Lexicon (Takamura et al, 2005): We used the words listed as having positive or negative polarity to produce +/- states, when they occur with the designated part-of-speech.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Just as each electron has a direction of spin (up or down), each word has a semantic orientation (positive or negative).</S><S sid = NA ssid = NA>Therefore we can extract semantic orientations of new words that are not listed in a dictionary.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P05-1017.txt | Citing Article:  W11-1710.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The proposed method in (Takamura et al, 2005) extracts semantic orientations from a small number of seed words with high accuracy in the experiments on English as well as Japanese lexicons.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Given only a small number of seed words, the proposed method extracts semantic orientations with high accuracy in the experiments on English lexicon.</S><S sid = NA ssid = NA>We succeeded in extracting semantic orientations with high accuracy, even when only a small number of seed words are available.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P05-1017.txt | Citing Article:  D09-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Takamura et al (2005) extracted semantic orientations of words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Kobayashi et al. (2001) proposed a method for extracting semantic orientations of words with bootstrapping.</S><S sid = NA ssid = NA>We proposed a method for extracting semantic orientations of words.</S> | Discourse Facet:  NA | Annotator: Automatic


