Citance Number: 1 | Reference Article:  P06-1072.txt | Citing Article:  W06-1638.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['174','175'] | Reference Text:  <S sid = 174 ssid = >We have presented a new unsupervised parameter estimation method, structural annealing, for learning hidden structure that biases toward simplicity and gradually weakens (anneals) the bias over time.</S><S sid = 175 ssid = >We applied the technique to weighted dependency grammar induction and achieved a significant gain in accuracy over EM and CE, raising the state-of-the-art across six languages from 42– 54% to 58–73% accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1072.txt | Citing Article:  I08-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Smith and Eisner, 2006) presents an approach to improve the accuracy of a dependency grammar induction models by EM from unlabeled data.</S> | Reference Offset:  ['1','68'] | Reference Text:  <S sid = 1 ssid = >first show how a structural bias improve the accuracy of state-of-the-art dependency grammar induction models trained by EM from unannotated examples (Klein and Manning, 2004).</S><S sid = 68 ssid = >This method was applied with some success to grammar induction models by Smith and Eisner (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1072.txt | Citing Article:  P09-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Smith and Eisner (2006) have penalized the approximate posterior over dependency structures in a natural language grammar induction task to avoid long range dependencies between words.</S> | Reference Offset:  ['70','171'] | Reference Text:  <S sid = 70 ssid = >As δ increases, we penalize long dependencies less.</S><S sid = 171 ssid = >Grammar induction serves as a tidy example for structural annealing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1072.txt | Citing Article:  P09-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow the idea of annealing proposed in Rose et al (1990) and Smith and Eisner (2006) for the ? by gradually loosening hard constraints on ? as the variational EM algorithm proceeds.</S> | Reference Offset:  ['7','60'] | Reference Text:  <S sid = 7 ssid = >A common starting point for weighted grammar induction is the Expectation-Maximization (EM) algorithm (Dempster et al., 1977; Baker, 1979).</S><S sid = 60 ssid = >The central idea of this paper is to gradually change (anneal) the bias δ.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P06-1072.txt | Citing Article:  P09-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is a strict model reminiscent of the successful application of structural bias to grammar induction (Smith and Eisner, 2006).</S> | Reference Offset:  ['0','68'] | Reference Text:  <S sid = 0 ssid = >Annealing Structural Bias In Multilingual Weighted Grammar Induction</S><S sid = 68 ssid = >This method was applied with some success to grammar induction models by Smith and Eisner (2004).</S> | Discourse Facet:  NA | Annotator: Automatic


