Citance Number: 1 | Reference Article:  P06-1104.txt | Citing Article:  N07-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To benefit from both views, a composite kernel (Zhanget al, 2006) integrates the flat features from entities and structured features from parse trees.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Composite Kernel To Extract Relations Between Entities With Both Flat And Structured Features</S><S sid = NA ssid = NA>Our study illustrates that the composite kernel can effectively capture both flat and structured features without the need for extensive feature engineering, and can also easily scale to include more features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P06-1104.txt | Citing Article:  P14-1076.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the similarity matrix W in section 4.1 and the kernel K in section 4.2, we used the composite kernel function (Zhang et al, 2006), which is based on structured features and entity-related features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Moreover, the in-between word features and the entity-related features used in the feature-based methods are also captured by the tree kernel and the entity kernel, respectively.</S><S sid = NA ssid = NA>Section 3 discusses our composite kernel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P06-1104.txt | Citing Article:  D11-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, by combining tree kernels and convolution string kernels, (Zhang et al, 2006) achieved the state of the art performance on ACE (ACE, 2004), which is a benchmark dataset for relation extraction.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, the kernels for structured natural language data, such as parse tree kernel (Collins and Duffy, 2001), string kernel (Lodhi et al., 2002) and graph kernel (Suzuki et al., 2003) are example instances of the wellknown convolution kernels1 in NLP.</S><S sid = NA ssid = NA>To our knowledge, convolution kernels have not been explored for relation extraction.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P06-1104.txt | Citing Article:  D11-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For comparison, we use the same setting as (Zhang et al, 2006), by applying a 5-fold cross-validation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since Zhao and Grishman (2005) use a 5-fold cross-validation on a subset of the 2004 data (newswire and broadcast news domains, containing 348 documents and 4400 relation instances), for comparison, we use the same setting (5-fold cross-validation on the same subset of the 2004 data, but the 5 partitions may not be the same) for the ACE 2004 data.</S><S sid = NA ssid = NA>The training parameters are chosen using cross-validation (C=2.4 (SVM); λ =0.4(tree kernel)).</S> | Discourse Facet:  NA | Annotator: Automatic


