Citance Number: 1 | Reference Article:  P07-1030.txt | Citing Article:  D08-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Davidov et al, 2007) introduce the use of term frequency patterns for relationship discovery.</S> | Reference Offset:  ['35','64'] | Reference Text:  <S sid = 35 ssid = >The key point is that language and domain-dependent preprocessing inwe do not in any manner specify in advance what cluding syntactic parsing (Suchanek et al, 2006) and types of relations we wish to find. named entity tagging (Hasegawa et al, 2004), while 3 Related Work others take advantage of handcrafted databases such As far as we know, no previous work has directly as WordNet (Moldovan et al, 2004; Costello et al, addressed the discovery of generic binary relations 2006) and Wikipedia (Strube and Ponzetto, 2006). in an unrestricted domain without (at least implic- Finally, (Turney, 2006) provided a pattern disitly) pre-specifying relationship types.</S><S sid = 64 ssid = >If S is in fact related to X in some way, there might be a number of S-patterns that capture this relationship.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-1030.txt | Citing Article:  W12-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Pantel and Pennacchiotti (2008) linked instantiations of a set of semantic relations into existing semantic ontologies and Davidov et al (2007) employed seed concepts from a given semantic class to discover relations shared by concepts in that class.</S> | Reference Offset:  ['17','31'] | Reference Text:  <S sid = 17 ssid = >We will generate a concept class and a variety of natural binary relations involving that class.</S><S sid = 31 ssid = >Unlike most earlier work, patterns (Agichtein and Gravano, 2000; Pantel et al, the bipartite graphs we wish to generate might be 2004), pattern-based rules (Etzioni et al, 2004), relaone-to-one (for example, countries and their capi- tion keywords (Sekine, 2006), or word pairs exemtals), many-to-one (for example, countries and the plifying relation instances (Pasca et al, 2006; Alfonregions they are in) or many-to-many (for example, seca et al, 2006; Rosenfeld and Feldman, 2006). countries and the products they manufacture).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-1030.txt | Citing Article:  P08-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a pre-requisite to extracting relations among pairs of classes, the method described in (Davidov et al., 2007) extracts class instances from unstructured Web documents, by submitting pairs of instances as queries and analyzing the contents of the top 1,000 documents returned by a Web search engine.</S> | Reference Offset:  ['81','142'] | Reference Text:  <S sid = 81 ssid = >In each stage we conducted queries iteratively, each time downloading all 1,000 documents for the query.</S><S sid = 142 ssid = >Moreover, all this was done using standard search engine methods on the web.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-1030.txt | Citing Article:  P08-1003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The evaluation methodology is also quite different, as the instance sets acquired based on the input seed instances in (Davidov et al, 2007) are only evaluated for three hand-picked classes, with precision scores of 90% for names of countries, 87% for fish species and 68% for instances of constellations.</S> | Reference Offset:  ['129','131'] | Reference Text:  <S sid = 129 ssid = >Of these, 87 names (77 constellations) are strings with no white space.</S><S sid = 131 ssid = >Using the list of 87 single word constellation names as our gold standard, this gives precision of 0.68 and recall of 0.93.</S> | Discourse Facet:  NA | Annotator: Automatic

