Citance Number: 1 | Reference Article:  P07-2045.txt | Citing Article:  D07-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This could be addressed by the so-called factored phrase-based model as implemented in the Moses decoder (Koehn et al, 2007).</S> | Reference Offset:  ['6','57'] | Reference Text:  <S sid = 6 ssid = >3 Factored Translation Model Non-factored SMT typically deals only with the surface form of words and has one phrase table, as shown in Figure 1.</S><S sid = 57 ssid = >Phrase-based statistical machine translation (Koehn et al. 2003) has emerged as the dominant paradigm in machine translation research.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P07-2045.txt | Citing Article:  P14-2122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the bilingual tasks, the publicly available system of Moses (Koehn et al, 2007) with default settings is employed to perform machine translation, and BLEU (Papineni et al, 2002) was used to evaluate the quality.</S> | Reference Offset:  ['63','75'] | Reference Text:  <S sid = 63 ssid = >Moses has shown that it achieves results comparable to the most competitive and widely used statistical machine translation systems in translation quality and run-time (Shen et al. 2006).</S><S sid = 75 ssid = >It also contains tools for tuning these models using minimum error rate training (Och 2003) and evaluating the resulting translations using the BLEU score (Papineni et al. 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P07-2045.txt | Citing Article:  S12-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Subsequently, we extracted the bi-lingual phrase table from the aligned corpora using the Moses toolkit (Koehn et al., 2007).</S> | Reference Offset:  ['42','121'] | Reference Text:  <S sid = 42 ssid = >Moses implements an efficient representation of the phrase translation table.</S><S sid = 121 ssid = >Moses implements an efficient representation of the phrase translation table.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P07-2045.txt | Citing Article:  S12-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Finally, we extract the semantic phrase table from the augmented aligned corpora using the Moses toolkit (Koehn et al, 2007).</S> | Reference Offset:  ['42','121'] | Reference Text:  <S sid = 42 ssid = >Moses implements an efficient representation of the phrase translation table.</S><S sid = 121 ssid = >Moses implements an efficient representation of the phrase translation table.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P07-2045.txt | Citing Article:  W11-2143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bidirectional lexical scores for all rules with lexical items, calculated from a unigram lexicon over Viterbi-aligned word pairs as in the Moses decoder (Koehn et al, 2007).</S> | Reference Offset:  ['56','135'] | Reference Text:  <S sid = 56 ssid = >Initial results show the potential benefit of factors for statistical machine translation, (Koehn et al. 2006) and (Koehn and Hoang 2007).</S><S sid = 135 ssid = >Initial results show the potential benefit of factors for statistical machine translation, (Koehn et al. 2006) and (Koehn and Hoang 2007).</S> | Discourse Facet:  NA | Annotator: Automatic


