Citance Number: 1 | Reference Article:  P08-1012.txt | Citing Article:  D08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is in line with earlier work on consistent estimation for similar models (Zollmann and Sima? an, 2006), and agrees with the most up-to-date work that employs Bayesian priors over the estimates (Zhang et al., 2008).</S> | Reference Offset:  ['7','60'] | Reference Text:  <S sid = 7 ssid = >These word-level alignments are most often obtained using Expectation Maximization on the conditional generative models of Brown et al. (1993) and Vogel et al.</S><S sid = 60 ssid = >As in the case of maximum likelihood estimation, Bayesian estimation for ITGs is very similar to PCFGs, which follows due to the strong isomorphism between the two models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1012.txt | Citing Article:  D08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also most up-to-date, (Zhang et al, 2008) report on a multi-stage model, without a latent segmentation variable, but with a strong prior preferring sparse estimates embedded in a Variational Bayes (VB) estimator and concentrating the efforts on pruning both the space of phrase pairs and the space of (ITG) analyses.</S> | Reference Offset:  ['129','179'] | Reference Text:  <S sid = 129 ssid = >Before the training starts, we apply the non-compositional constraints over the pruned bitext space to further constrain the space of phrase pairs.</S><S sid = 179 ssid = >On top of these hard constraints, the sparse prior of VB helps make the model less prone to overfitting to infrequent phrase pairs, and thus improves the quality of the phrase pairs the model learns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1012.txt | Citing Article:  D08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It differs from (Zhang et al, 2008) in that it does postulate a latent segmentation variable and puts the prior directly over that variable rather than over the ITG synchronous rule estimates.</S> | Reference Offset:  ['24','72'] | Reference Text:  <S sid = 24 ssid = >There are three rules with X on the left-hand side: The first two rules are the straight rule and inverted rule respectively.</S><S sid = 72 ssid = >Our pruning differs from Zhang and Gildea (2005) in two major ways.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1012.txt | Citing Article:  D08-1066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As well as smoothing, we find (in the same vein as (Zhang et al, 2008)) that setting effective priors/smoothing is crucial for EM to arrive at better estimates.</S> | Reference Offset:  ['62','64'] | Reference Text:  <S sid = 62 ssid = >The sole difference between EM and VB with a sparse prior α is that the raw fractional counts c are replaced by exp(ψ(c + α)), an operation that resembles smoothing.</S><S sid = 64 ssid = >For small values of α the net effect is the opposite of typical smoothing, since it tends to redistribute probably mass away from unlikely events onto more likely ones.</S> | Discourse Facet:  NA | Annotator: Automatic


