Citance Number: 1 | Reference Article:  P08-1028.txt | Citing Article:  D08-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Mitchell and Lapata (2008) propose a framework to represent the meaning of the combination p+ a as a function f operating on four components: c= f (p, a, R, K) (3) R is the relation holding between p and a, and K additional knowledge.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Another simplification concerns K which can be ignored so as to explore what can be achieved in the absence of additional knowledge.</S><S sid = NA ssid = NA>Any adequate model of composition must be able to represent argument-verb meaning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P08-1028.txt | Citing Article:  D08-1094.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In both experiments, we compare the SVS model against the state-of-the art model by Mitchell and Lapata 2008 (henceforth M&L; cf.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Although the composition model in (5) is commonly used in the literature, from a linguistic perspective, the model in (6) is more appealing.</S><S sid = NA ssid = NA>We observe a similar pattern for the non compositional baseline model, the weighted additive model and Kintsch (2001).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P08-1028.txt | Citing Article:  P14-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>NLP tasks that could benefit from composition models include paraphrase identification and context-dependent language modeling (Coccaro and Jurafsky, 1998).</S><S sid = NA ssid = NA>This reduces the class of models to: However, this still leaves the particular form of the function f unspecified.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P08-1028.txt | Citing Article:  P14-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>While works such as the SDSM model suffer from the problem of sparsity in composing structures beyond bigrams and trigrams, methods such as Mitchell and Lapata (2008) and (Socher et al, 2012) and Grefenstette and Sadrzadeh (2011) are restricted by significant model biases in representing semantic com position by generic algebraic operations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Combining the multiplicative model with an additive model, which does not suffer from this problem, could mitigate this problem: pi = αui +βvi +γuivi (11) where α, β, and γ are weighting constants.</S><S sid = NA ssid = NA>Examples include automatic thesaurus extraction (Grefenstette, 1994), word sense discrimination (Sch¨utze, 1998) and disambiguation (McCarthy et al., 2004), collocation extraction (Schone and Jurafsky, 2001), text segmentation (Choi et al., 2001) , and notably information retrieval (Salton et al., 1975).</S> | Discourse Facet:  NA | Annotator: Automatic


