Citance Number: 1 | Reference Article:  P11-2031.txt | Citing Article:  W11-2127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MERT was done only for the baseline system; these same weights were used for all experiments to control for the effect of MERT instability. In the future, we plan to experiment with approach specific optimization and to use recent published suggestions on controlling for optimizer instability (Clark et al, 2011).</S> | Reference Offset:  ['0','17'] | Reference Text:  <S sid = 0 ssid = >Better Hypothesis Testing for Statistical Machine Translation: Controlling for Optimizer Instability</S><S sid = 17 ssid = >This can the standard deviation over 5 MERT runs when each be done by replication of the optimization procedure of several metrics was used as the objective function. with different starting conditions (e.g., by running 4 Experiments MERT many times).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P11-2031.txt | Citing Article:  P14-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Clark et al (2011), we report average scores over five random tuning replications to account for optimizer instability.</S> | Reference Offset:  ['45','83'] | Reference Text:  <S sid = 45 ssid = >Using the n optimizer samples, with mi as the translation quality measurement of 5METEOR version 1.2 with English ranking parameters and all modules. the development set for the ith optimization run, and m is the average of all mis, we report the standard deviation over the tuning set as sdev: (mi − m)2 n − 1 A high sdev value may indicate that the optimizer is struggling with local optima and changing hyperparameters (e.g. more random restarts in MERT) could improve system performance.</S><S sid = 83 ssid = >Therefore, we must include multiple optimizer replications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P11-2031.txt | Citing Article:  P14-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We measure statistical significance using MultEval (Clark et al, 2011), which implements a stratified approximate randomization test to account for multiple tuning replications.</S> | Reference Offset:  ['78','83'] | Reference Text:  <S sid = 78 ssid = >To determine whether an experimental manipulation results in a statistically reliable difference for an evaluation metric, we use a stratified approximate randomization (AR) test.</S><S sid = 83 ssid = >Therefore, we must include multiple optimizer replications.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P11-2031.txt | Citing Article:  W12-3154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Tuning of models used minimum error rate training (Och, 2003), repeated 3 times and averaged (Clark et al., 2011).</S> | Reference Offset:  ['12','25'] | Reference Text:  <S sid = 12 ssid = >Additionally, stochastic optimization and search techniques, such as minimum error rate training (Och, 2003) and Markov chain Monte Carlo methods (Arun et al., 2010),3 constitute a second, more obvious source of noise in the optimization procedure.</S><S sid = 25 ssid = >The Chinese2004), and to determine the significance of MT re- English systems were optimized 300 times, and the sults (Och, 2003; Koehn, 2004; Zhang et al., 2004; German-English systems were optimized 50 times.</S> | Discourse Facet:  NA | Annotator: Automatic


