Citance Number: 1 | Reference Article:  P85-1008.txt | Citing Article:  A88-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Events are represented by event variables, as in [Hobbs, 1985], so that see' (e1, x1, x2) means e1 is a seeing event by x1 of x2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, run(J) means that John ( E J) that running event by John. or running.</S><S sid = NA ssid = NA>Thus, if run(J) means that John runs, run' ( E J) means that E is a running event by John. or John's running.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P85-1008.txt | Citing Article:  W96-0410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, as originally advocated by Hobbs (1985), we adopt an ONTOLOGICALLY PROMISCUOUS representation that includes a wide variety of types of entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S><S sid = NA ssid = NA>In this paper I propose a flat logical notation with an ontologically promiscuous semantics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P85-1008.txt | Citing Article:  W96-0410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Second, in keeping with ontological promiscuity (Hobbs, 1985), we represent the importance of attributes by the salience of events and states in the discourse model - these states and events now have the same status in the discourse model as any other entities.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In discourse one not only makes predications about such ephemera as events, states and conditions.</S><S sid = NA ssid = NA>We therefore take our model to be a Platonic universe which contains everything that can be spoken of - objects, events, states, conditions - whether they exist in the real world or not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P85-1008.txt | Citing Article:  C88-2126.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>[Hobbs 1985] describes a similar approach by introducing what he calls 'nominalization'.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Hence, I propose a logical notation that provides two sets of predicates that are systematically related, by introducing what might be called a -nominalization* operator '.</S><S sid = NA ssid = NA>A similar approach has been used in many Al systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P85-1008.txt | Citing Article:  W04-2803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Note that the predicate language representation utilized by Carmel-Tools is in the style of Davidsonian event based semantics (Hobbs, 1985).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Semantics is the attempted specification of the relation between language and the world.</S><S sid = NA ssid = NA>First note that this representation does not imply that John is a man, for we have not asserted E's existence in the real world, and almost is opaque and does not imply its argument's existence.</S> | Discourse Facet:  NA | Annotator: Automatic


