Citance Number: 1 | Reference Article:  P93-1032.txt | Citing Article:  P06-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Manning (1993), we empirically determined the value of p.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>At the moment, the false cue rates B, in my system have been set empirically.</S><S sid = NA ssid = NA>14The number 2000 is arbitrary, but was chosen following the intuition that one wanted to test the program's performance on verbs of at least moderate frequency.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 2 | Reference Article:  P93-1032.txt | Citing Article:  D11-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our local language model approach also bears some resemblance to statistical approaches to modeling sub categorization frames (Manning, 1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S><S sid = NA ssid = NA>Different classifications of sub categorization frames can be found in each of the dictionaries mentioned above, and in other places in the linguistics literature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 3 | Reference Article:  P93-1032.txt | Citing Article:  W02-1608.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our work differs from corpus-based work such as Manning (1993) or Kawahara and Kurohashi (2001) in that we are using existing lexical resources rather than a corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further, the learned corpus may reflect language use more accurately than the dictionary.</S><S sid = NA ssid = NA>I have done some preliminary work to answer these questions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 4 | Reference Article:  P93-1032.txt | Citing Article:  W06-1601.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Initial experiments suggest that this technique works at least as well as previously tried techniques, and yields a method that can learn all the possible subcategorization frames of verbs.</S><S sid = NA ssid = NA>As well as (3b), chip can also just be a TV: John chipped his tooth.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 5 | Reference Article:  P93-1032.txt | Citing Article:  W99-0632.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Techniques for the automatic acquisition of subcategofization dictionaries have been developed by Manning (1993), Bfiscoe and Carroll (1997) and Carroll and Rooth (1998).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Acquisition Of A Large Sub Categorization Dictionary From Corpora</S><S sid = NA ssid = NA>While work has been done on various sorts of collocation information that can be obtained from text corpora, the only research that I am aware of that has dealt directly with the problem of the automatic acquisition of subcategorization frames is a series of papers by Brent (Brent and Berwick 1991, Brent 1991, Brent 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


